,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,mDC,macrophage,mast,neutrophil,pDC,plasmablast
0,8.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,8.0,2.0,2.0,0.0,5.0,2.0,5.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8.0,3.0,2.0,0.0,20.0,1.0,7.0,18.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,78.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3,8.0,4.0,5.0,0.0,16.0,2.0,5.0,15.0,5.0,6.0,0.0,0.0,0.0,0.0,3.0,19.0,0.0,0.0,9.0,1.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.0,5.0,13.0,0.0,1.0,6.0,5.0,5.0,1.0,9.0,0.0,0.0,0.0,1.0,6.0,35.0,0.0,0.0,6.0,7.0,1.0,0.0,8.0,39.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0
5,8.0,6.0,4.0,0.0,19.0,1.0,9.0,11.0,14.0,7.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,8.0,0.0,1.0,7.0,15.0,67.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.0,7.0,6.0,0.0,9.0,2.0,9.0,14.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,7.0,29.0,55.0,0.0,0.0,0.0,0.0,41.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8.0,8.0,1.0,0.0,6.0,1.0,17.0,14.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,10.0,16.0,89.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,8.0,9.0,7.0,0.0,16.0,5.0,20.0,11.0,15.0,4.0,1.0,0.0,0.0,0.0,2.0,18.0,0.0,0.0,10.0,3.0,1.0,0.0,14.0,58.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9,8.0,10.0,1.0,0.0,10.0,0.0,13.0,9.0,21.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,7.0,0.0,1.0,15.0,27.0,48.0,0.0,0.0,0.0,0.0,48.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,8.0,11.0,2.0,0.0,4.0,0.0,15.0,12.0,21.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,1.0,51.0,49.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,8.0,12.0,4.0,0.0,1.0,0.0,16.0,10.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,0.0,39.0,60.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,8.0,13.0,6.0,0.0,3.0,1.0,5.0,16.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,4.0,1.0,0.0,0.0,10.0,85.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13,8.0,14.0,8.0,0.0,6.0,2.0,10.0,11.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,15.0,0.0,0.0,6.0,14.0,65.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,8.0,15.0,3.0,0.0,1.0,0.0,13.0,8.0,9.0,6.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,0.0,10.0,7.0,66.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,8.0,16.0,3.0,0.0,1.0,1.0,11.0,10.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,31.0,73.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
