,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,macrophage,mast,monocyte,pDC,plasmablast
0,1.0,1.0,6.0,2.0,4.0,1.0,25.0,40.0,11.0,3.0,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0
1,1.0,2.0,2.0,0.0,1.0,3.0,25.0,48.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0
2,1.0,3.0,9.0,2.0,5.0,2.0,21.0,42.0,5.0,5.0,3.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,6.0,0.0,0.0,2.0,17.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,4.0,3.0,0.0,7.0,4.0,7.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,11.0,0.0,0.0,5.0,1.0,0.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
4,1.0,5.0,15.0,0.0,6.0,1.0,12.0,27.0,64.0,13.0,0.0,0.0,0.0,1.0,6.0,21.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,25.0
5,1.0,6.0,8.0,0.0,11.0,4.0,24.0,26.0,39.0,4.0,24.0,0.0,0.0,1.0,8.0,22.0,2.0,0.0,31.0,2.0,20.0,2.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,9.0,0.0,0.0,0.0,21.0
6,1.0,7.0,11.0,1.0,8.0,0.0,51.0,36.0,35.0,7.0,0.0,0.0,0.0,0.0,2.0,13.0,0.0,0.0,5.0,0.0,0.0,1.0,7.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
7,1.0,8.0,20.0,4.0,24.0,3.0,25.0,32.0,55.0,13.0,0.0,0.0,0.0,1.0,9.0,13.0,0.0,0.0,9.0,0.0,0.0,6.0,3.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,8.0
8,1.0,9.0,23.0,8.0,2.0,4.0,25.0,18.0,4.0,4.0,38.0,0.0,3.0,4.0,11.0,22.0,1.0,0.0,45.0,1.0,32.0,2.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,20.0
9,1.0,10.0,13.0,7.0,14.0,3.0,15.0,25.0,34.0,13.0,9.0,0.0,3.0,1.0,8.0,23.0,2.0,0.0,17.0,0.0,9.0,9.0,4.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,11.0,0.0,0.0,0.0,21.0
10,1.0,11.0,7.0,0.0,23.0,2.0,13.0,27.0,25.0,3.0,4.0,0.0,0.0,0.0,3.0,16.0,0.0,0.0,14.0,0.0,4.0,2.0,11.0,70.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,2.0
11,1.0,12.0,13.0,1.0,42.0,3.0,8.0,24.0,23.0,12.0,0.0,0.0,0.0,1.0,5.0,20.0,0.0,0.0,13.0,0.0,1.0,3.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,4.0,7.0,0.0,0.0,0.0,9.0
12,1.0,13.0,10.0,0.0,12.0,1.0,15.0,42.0,4.0,6.0,1.0,0.0,0.0,1.0,3.0,25.0,0.0,0.0,10.0,3.0,0.0,16.0,5.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,4.0
13,1.0,14.0,11.0,1.0,13.0,9.0,24.0,27.0,26.0,6.0,18.0,0.0,0.0,2.0,8.0,26.0,0.0,0.0,33.0,0.0,12.0,7.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,13.0
14,1.0,15.0,12.0,0.0,38.0,2.0,16.0,31.0,12.0,5.0,10.0,0.0,1.0,1.0,4.0,28.0,0.0,0.0,15.0,1.0,6.0,3.0,8.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,2.0,3.0,0.0,0.0,0.0,2.0
15,1.0,16.0,14.0,0.0,44.0,5.0,10.0,22.0,1.0,4.0,5.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,8.0,0.0,2.0,2.0,10.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
16,1.0,17.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.0,18.0,5.0,0.0,20.0,2.0,16.0,21.0,13.0,0.0,1.0,0.0,0.0,1.0,5.0,7.0,0.0,0.0,7.0,0.0,0.0,9.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
18,1.0,19.0,8.0,0.0,5.0,2.0,30.0,62.0,7.0,8.0,1.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,9.0,2.0,0.0,7.0,3.0,71.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
