,Unnamed: 0,fov,spot_id,cell_ID
0,0,1.0,8.0,1.0
1,1,1.0,8.0,2.0
2,2,1.0,8.0,3.0
3,3,1.0,12.0,4.0
4,4,1.0,12.0,5.0
5,5,1.0,12.0,6.0
6,6,1.0,12.0,7.0
7,7,1.0,12.0,8.0
8,8,1.0,16.0,9.0
9,9,1.0,16.0,10.0
10,10,1.0,16.0,11.0
11,11,1.0,16.0,12.0
12,12,1.0,16.0,13.0
13,13,1.0,16.0,14.0
14,14,1.0,16.0,15.0
15,15,1.0,20.0,16.0
16,16,1.0,20.0,17.0
17,17,1.0,20.0,18.0
18,18,1.0,20.0,19.0
19,19,1.0,20.0,20.0
20,20,1.0,12.0,21.0
21,21,1.0,12.0,22.0
22,22,1.0,12.0,23.0
23,23,1.0,12.0,24.0
24,24,1.0,12.0,25.0
25,25,1.0,16.0,26.0
26,26,1.0,16.0,27.0
27,27,1.0,20.0,28.0
28,28,1.0,20.0,29.0
29,29,1.0,20.0,30.0
30,30,1.0,20.0,31.0
31,31,1.0,20.0,32.0
32,32,1.0,20.0,33.0
33,33,1.0,12.0,34.0
34,34,1.0,16.0,35.0
35,35,1.0,20.0,36.0
36,36,1.0,8.0,37.0
37,37,1.0,16.0,38.0
38,38,1.0,8.0,39.0
39,39,1.0,12.0,40.0
40,40,1.0,12.0,41.0
41,41,1.0,12.0,42.0
42,42,1.0,16.0,43.0
43,43,1.0,20.0,44.0
44,44,1.0,16.0,45.0
45,45,1.0,16.0,46.0
46,46,1.0,20.0,47.0
47,47,1.0,20.0,48.0
48,48,1.0,12.0,49.0
49,49,1.0,16.0,50.0
50,50,1.0,20.0,51.0
51,51,1.0,20.0,52.0
52,52,1.0,12.0,53.0
53,53,1.0,16.0,54.0
54,54,1.0,16.0,55.0
55,55,1.0,20.0,56.0
56,56,1.0,20.0,57.0
57,57,1.0,12.0,58.0
58,58,1.0,16.0,59.0
59,59,1.0,8.0,60.0
60,60,1.0,12.0,61.0
61,61,1.0,20.0,62.0
62,62,1.0,8.0,63.0
63,63,1.0,12.0,64.0
64,64,1.0,12.0,65.0
65,65,1.0,20.0,66.0
66,66,1.0,12.0,67.0
67,67,1.0,12.0,68.0
68,68,1.0,12.0,69.0
69,69,1.0,16.0,70.0
70,70,1.0,16.0,71.0
71,71,1.0,20.0,72.0
72,72,1.0,20.0,73.0
73,73,1.0,20.0,74.0
74,74,1.0,8.0,75.0
75,75,1.0,12.0,76.0
76,76,1.0,20.0,77.0
77,77,1.0,12.0,78.0
78,78,1.0,16.0,79.0
79,79,1.0,20.0,80.0
80,80,1.0,8.0,81.0
81,81,1.0,20.0,82.0
82,82,1.0,12.0,83.0
83,83,1.0,12.0,84.0
84,84,1.0,16.0,85.0
85,85,1.0,8.0,86.0
86,86,1.0,16.0,87.0
87,87,1.0,16.0,88.0
88,88,1.0,12.0,89.0
89,89,1.0,16.0,90.0
90,90,1.0,16.0,91.0
91,91,1.0,16.0,92.0
92,92,1.0,8.0,93.0
93,93,1.0,12.0,94.0
94,94,1.0,12.0,95.0
95,95,1.0,16.0,96.0
96,96,1.0,20.0,97.0
97,97,1.0,20.0,98.0
98,98,1.0,8.0,99.0
99,99,1.0,20.0,100.0
100,100,1.0,20.0,101.0
101,101,1.0,8.0,102.0
102,102,1.0,8.0,103.0
103,103,1.0,20.0,104.0
104,104,1.0,12.0,105.0
105,105,1.0,20.0,106.0
106,106,1.0,8.0,107.0
107,107,1.0,20.0,108.0
108,108,1.0,12.0,109.0
109,109,1.0,12.0,110.0
110,110,1.0,12.0,111.0
111,111,1.0,20.0,112.0
112,112,1.0,20.0,113.0
113,113,1.0,12.0,114.0
114,114,1.0,8.0,115.0
115,115,1.0,20.0,116.0
116,116,1.0,8.0,117.0
117,117,1.0,8.0,118.0
118,118,1.0,12.0,119.0
119,119,1.0,12.0,120.0
120,120,1.0,16.0,121.0
121,121,1.0,20.0,122.0
122,122,1.0,12.0,123.0
123,123,1.0,20.0,124.0
124,124,1.0,8.0,125.0
125,125,1.0,20.0,126.0
126,126,1.0,8.0,127.0
127,127,1.0,16.0,128.0
128,128,1.0,16.0,129.0
129,129,1.0,12.0,130.0
130,130,1.0,12.0,131.0
131,131,1.0,16.0,132.0
132,132,1.0,20.0,133.0
133,133,1.0,12.0,134.0
134,134,1.0,20.0,135.0
135,135,1.0,20.0,136.0
136,136,1.0,16.0,137.0
137,137,1.0,12.0,138.0
138,138,1.0,12.0,139.0
139,139,1.0,16.0,140.0
140,140,1.0,20.0,141.0
141,141,1.0,8.0,142.0
142,142,1.0,16.0,143.0
143,143,1.0,8.0,144.0
144,144,1.0,12.0,145.0
145,145,1.0,20.0,146.0
146,146,1.0,20.0,147.0
147,147,1.0,20.0,148.0
148,148,1.0,8.0,149.0
149,149,1.0,8.0,150.0
150,150,1.0,8.0,151.0
151,151,1.0,12.0,152.0
152,152,1.0,20.0,153.0
153,153,1.0,8.0,154.0
154,154,1.0,12.0,155.0
155,155,1.0,12.0,156.0
156,156,1.0,12.0,157.0
157,157,1.0,12.0,158.0
158,158,1.0,16.0,159.0
159,159,1.0,8.0,160.0
160,160,1.0,8.0,161.0
161,161,1.0,12.0,162.0
162,162,1.0,20.0,163.0
