,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,40,129,33,0,74,204,222,116,13,170,209,173,2,68,185,235,0,18,19,102
1,2,237,184,225,191,208,173,193,250,247,156,208,193,254,217,237,197,200,253,261,157
2,3,226,255,208,159,186,272,201,203,242,179,244,215,230,193,259,168,46,195,210,170
3,4,213,187,216,209,229,206,235,185,105,216,182,226,3,76,205,213,0,0,53,202
4,5,188,168,32,0,180,190,243,86,195,159,196,184,193,219,250,212,215,182,241,189
5,6,217,221,132,10,164,222,221,210,191,241,235,185,230,222,247,206,62,177,228,250
6,7,169,208,156,69,242,247,191,160,196,189,186,190,201,204,220,153,14,143,209,151
7,8,155,134,103,36,121,131,165,167,143,96,118,177,133,114,65,135,0,62,70,152
8,9,35,75,59,29,85,100,82,68,72,111,79,50,79,134,82,95,45,71,121,107
9,10,82,66,27,29,73,92,42,56,72,87,78,46,47,75,98,44,9,24,74,71
10,11,33,9,1,22,55,3,0,2,85,3,11,10,61,51,75,83,39,56,53,67
11,12,94,56,11,0,156,114,61,23,101,65,84,91,15,79,112,67,5,20,39,92
