,fov,spot_id,x,y
0,18.0,1.0,-42708.3555555556,25153.1111111111
1,18.0,2.0,-42708.3555555556,24241.1111111111
2,18.0,3.0,-42708.3555555556,23329.1111111111
3,18.0,4.0,-42708.3555555556,22417.1111111111
4,18.0,5.0,-41613.9555555556,25153.1111111111
5,18.0,6.0,-41613.9555555556,24241.1111111111
6,18.0,7.0,-41613.9555555556,23329.1111111111
7,18.0,8.0,-41613.9555555556,22417.1111111111
8,18.0,9.0,-40519.5555555556,25153.1111111111
9,18.0,10.0,-40519.5555555556,24241.1111111111
10,18.0,11.0,-40519.5555555556,23329.1111111111
11,18.0,12.0,-40519.5555555556,22417.1111111111
12,18.0,13.0,-39425.155555555604,25153.1111111111
13,18.0,14.0,-39425.155555555604,24241.1111111111
14,18.0,15.0,-39425.155555555604,23329.1111111111
15,18.0,16.0,-39425.155555555604,22417.1111111111
16,18.0,17.0,-38330.7555555556,25153.1111111111
17,18.0,18.0,-38330.7555555556,24241.1111111111
18,18.0,19.0,-38330.7555555556,23329.1111111111
19,18.0,20.0,-38330.7555555556,22417.1111111111
20,19.0,1.0,-36002.8,11619.77777777778
21,19.0,2.0,-36002.8,10707.77777777778
22,19.0,3.0,-36002.8,9795.77777777778
23,19.0,4.0,-36002.8,8883.77777777778
24,19.0,5.0,-34908.4,11619.77777777778
25,19.0,6.0,-34908.4,10707.77777777778
26,19.0,7.0,-34908.4,9795.77777777778
27,19.0,8.0,-34908.4,8883.77777777778
28,19.0,9.0,-33814.0,11619.77777777778
29,19.0,10.0,-33814.0,10707.77777777778
30,19.0,11.0,-33814.0,9795.77777777778
31,19.0,12.0,-33814.0,8883.77777777778
32,19.0,13.0,-32719.600000000002,11619.77777777778
33,19.0,14.0,-32719.600000000002,10707.77777777778
34,19.0,15.0,-32719.600000000002,9795.77777777778
35,19.0,16.0,-32719.600000000002,8883.77777777778
36,19.0,17.0,-31625.200000000004,11619.77777777778
37,19.0,18.0,-31625.200000000004,10707.77777777778
38,19.0,19.0,-31625.200000000004,9795.77777777778
39,19.0,20.0,-31625.200000000004,8883.77777777778
40,20.0,1.0,-33336.1333333333,5292.0
41,20.0,2.0,-33336.1333333333,4380.0
42,20.0,3.0,-33336.1333333333,3468.0
43,20.0,4.0,-33336.1333333333,2556.0
44,20.0,5.0,-32241.7333333333,5292.0
45,20.0,6.0,-32241.7333333333,4380.0
46,20.0,7.0,-32241.7333333333,3468.0
47,20.0,8.0,-32241.7333333333,2556.0
48,20.0,9.0,-31147.333333333303,5292.0
49,20.0,10.0,-31147.333333333303,4380.0
50,20.0,11.0,-31147.333333333303,3468.0
51,20.0,12.0,-31147.333333333303,2556.0
52,20.0,13.0,-30052.9333333333,5292.0
53,20.0,14.0,-30052.9333333333,4380.0
54,20.0,15.0,-30052.9333333333,3468.0
55,20.0,16.0,-30052.9333333333,2556.0
56,20.0,17.0,-28958.533333333304,5292.0
57,20.0,18.0,-28958.533333333304,4380.0
58,20.0,19.0,-28958.533333333304,3468.0
59,20.0,20.0,-28958.533333333304,2556.0
60,21.0,1.0,-30530.5777777778,1586.44444444444
61,21.0,2.0,-30530.5777777778,674.44444444444
62,21.0,3.0,-30530.5777777778,-237.55555555555998
63,21.0,4.0,-30530.5777777778,-1149.55555555556
64,21.0,5.0,-29436.177777777797,1586.44444444444
65,21.0,6.0,-29436.177777777797,674.44444444444
66,21.0,7.0,-29436.177777777797,-237.55555555555998
67,21.0,8.0,-29436.177777777797,-1149.55555555556
68,21.0,9.0,-28341.7777777778,1586.44444444444
69,21.0,10.0,-28341.7777777778,674.44444444444
70,21.0,11.0,-28341.7777777778,-237.55555555555998
71,21.0,12.0,-28341.7777777778,-1149.55555555556
72,21.0,13.0,-27247.377777777798,1586.44444444444
73,21.0,14.0,-27247.377777777798,674.44444444444
74,21.0,15.0,-27247.377777777798,-237.55555555555998
75,21.0,16.0,-27247.377777777798,-1149.55555555556
76,21.0,17.0,-26152.9777777778,1586.44444444444
77,21.0,18.0,-26152.9777777778,674.44444444444
78,21.0,19.0,-26152.9777777778,-237.55555555555998
79,21.0,20.0,-26152.9777777778,-1149.55555555556
80,22.0,1.0,-27941.6888888889,-4685.77777777778
81,22.0,2.0,-27941.6888888889,-5597.77777777778
82,22.0,3.0,-27941.6888888889,-6509.77777777778
83,22.0,4.0,-27941.6888888889,-7421.77777777778
84,22.0,5.0,-26847.2888888889,-4685.77777777778
85,22.0,6.0,-26847.2888888889,-5597.77777777778
86,22.0,7.0,-26847.2888888889,-6509.77777777778
87,22.0,8.0,-26847.2888888889,-7421.77777777778
88,22.0,9.0,-25752.8888888889,-4685.77777777778
89,22.0,10.0,-25752.8888888889,-5597.77777777778
90,22.0,11.0,-25752.8888888889,-6509.77777777778
91,22.0,12.0,-25752.8888888889,-7421.77777777778
92,22.0,13.0,-24658.4888888889,-4685.77777777778
93,22.0,14.0,-24658.4888888889,-5597.77777777778
94,22.0,15.0,-24658.4888888889,-6509.77777777778
95,22.0,16.0,-24658.4888888889,-7421.77777777778
96,22.0,17.0,-23564.088888888902,-4685.77777777778
97,22.0,18.0,-23564.088888888902,-5597.77777777778
98,22.0,19.0,-23564.088888888902,-6509.77777777778
99,22.0,20.0,-23564.088888888902,-7421.77777777778
100,23.0,1.0,-26752.8,-8352.4444444444
101,23.0,2.0,-26752.8,-9264.4444444444
102,23.0,3.0,-26752.8,-10176.4444444444
103,23.0,4.0,-26752.8,-11088.4444444444
104,23.0,5.0,-25658.399999999998,-8352.4444444444
105,23.0,6.0,-25658.399999999998,-9264.4444444444
106,23.0,7.0,-25658.399999999998,-10176.4444444444
107,23.0,8.0,-25658.399999999998,-11088.4444444444
108,23.0,9.0,-24564.0,-8352.4444444444
109,23.0,10.0,-24564.0,-9264.4444444444
110,23.0,11.0,-24564.0,-10176.4444444444
111,23.0,12.0,-24564.0,-11088.4444444444
112,23.0,13.0,-23469.6,-8352.4444444444
113,23.0,14.0,-23469.6,-9264.4444444444
114,23.0,15.0,-23469.6,-10176.4444444444
115,23.0,16.0,-23469.6,-11088.4444444444
116,23.0,17.0,-22375.199999999997,-8352.4444444444
117,23.0,18.0,-22375.199999999997,-9264.4444444444
118,23.0,19.0,-22375.199999999997,-10176.4444444444
119,23.0,20.0,-22375.199999999997,-11088.4444444444
120,24.0,1.0,-25952.8,-11996.8888888889
121,24.0,2.0,-25952.8,-12908.8888888889
122,24.0,3.0,-25952.8,-13820.8888888889
123,24.0,4.0,-25952.8,-14732.8888888889
124,24.0,5.0,-24858.399999999998,-11996.8888888889
125,24.0,6.0,-24858.399999999998,-12908.8888888889
126,24.0,7.0,-24858.399999999998,-13820.8888888889
127,24.0,8.0,-24858.399999999998,-14732.8888888889
128,24.0,9.0,-23764.0,-11996.8888888889
129,24.0,10.0,-23764.0,-12908.8888888889
130,24.0,11.0,-23764.0,-13820.8888888889
131,24.0,12.0,-23764.0,-14732.8888888889
132,24.0,13.0,-22669.6,-11996.8888888889
133,24.0,14.0,-22669.6,-12908.8888888889
134,24.0,15.0,-22669.6,-13820.8888888889
135,24.0,16.0,-22669.6,-14732.8888888889
136,24.0,17.0,-21575.199999999997,-11996.8888888889
137,24.0,18.0,-21575.199999999997,-12908.8888888889
138,24.0,19.0,-21575.199999999997,-13820.8888888889
139,24.0,20.0,-21575.199999999997,-14732.8888888889
140,25.0,1.0,-38636.1333333333,-16896.8888888889
141,25.0,2.0,-38636.1333333333,-17808.8888888889
142,25.0,3.0,-38636.1333333333,-18720.8888888889
143,25.0,4.0,-38636.1333333333,-19632.8888888889
144,25.0,5.0,-37541.7333333333,-16896.8888888889
145,25.0,6.0,-37541.7333333333,-17808.8888888889
146,25.0,7.0,-37541.7333333333,-18720.8888888889
147,25.0,8.0,-37541.7333333333,-19632.8888888889
148,25.0,9.0,-36447.3333333333,-16896.8888888889
149,25.0,10.0,-36447.3333333333,-17808.8888888889
150,25.0,11.0,-36447.3333333333,-18720.8888888889
151,25.0,12.0,-36447.3333333333,-19632.8888888889
152,25.0,13.0,-35352.933333333305,-16896.8888888889
153,25.0,14.0,-35352.933333333305,-17808.8888888889
154,25.0,15.0,-35352.933333333305,-18720.8888888889
155,25.0,16.0,-35352.933333333305,-19632.8888888889
156,25.0,17.0,-34258.533333333304,-16896.8888888889
157,25.0,18.0,-34258.533333333304,-17808.8888888889
158,25.0,19.0,-34258.533333333304,-18720.8888888889
159,25.0,20.0,-34258.533333333304,-19632.8888888889
