,fov,spot_id,x,y
873,195,1,34,4
874,195,2,35,4
875,195,3,36,4
876,195,4,34,5
877,195,5,35,5
878,195,6,36,5
879,195,7,34,6
880,195,8,35,6
881,195,9,36,6
882,196,1,34,7
883,196,2,35,7
884,196,3,36,7
885,196,4,34,8
886,196,5,35,8
887,196,6,36,8
888,196,7,34,9
889,196,8,35,9
890,196,9,36,9
891,197,1,34,10
892,197,2,35,10
893,197,3,36,10
894,197,4,34,11
895,197,5,35,11
896,197,6,36,11
897,197,7,34,12
898,197,8,35,12
899,197,9,36,12
900,198,1,34,13
901,198,2,35,13
902,198,3,36,13
903,198,4,34,14
904,198,5,35,14
905,198,6,36,14
906,198,7,34,15
907,198,8,35,15
908,198,9,36,15
909,199,1,34,16
910,199,2,35,16
911,199,3,36,16
912,199,4,34,17
913,199,5,35,17
914,199,6,36,17
915,199,7,34,18
916,199,8,35,18
917,199,9,36,18
927,200,1,34,19
928,200,2,35,19
929,200,3,36,19
930,200,4,34,20
931,200,5,35,20
932,200,6,36,20
933,200,7,34,21
934,200,8,35,21
935,200,9,36,21
936,202,1,34,25
937,202,2,35,25
938,202,3,36,25
939,202,4,34,26
940,202,5,35,26
941,202,6,36,26
942,202,7,34,27
943,202,8,35,27
944,202,9,36,27
945,203,1,34,28
946,203,2,35,28
947,203,3,36,28
948,203,4,34,29
949,203,5,35,29
950,203,6,36,29
951,203,7,34,30
952,203,8,35,30
953,203,9,36,30
954,204,1,34,31
955,204,2,35,31
956,204,3,36,31
957,204,4,34,32
958,204,5,35,32
959,204,6,36,32
960,204,7,34,33
961,204,8,35,33
962,204,9,36,33
963,205,1,34,34
964,205,2,35,34
965,205,3,36,34
966,205,4,34,35
967,205,5,35,35
968,205,6,36,35
969,205,7,34,36
970,205,8,35,36
971,205,9,36,36
972,206,1,34,37
973,206,2,35,37
974,206,3,36,37
975,206,4,34,38
976,206,5,35,38
977,206,6,36,38
978,206,7,34,39
979,206,8,35,39
980,206,9,36,39
1080,218,1,37,4
1081,218,2,38,4
1082,218,3,39,4
1083,218,4,37,5
1084,218,5,38,5
1085,218,6,39,5
