,fov,spot_id,x,y
0,1,1,4,10
1,1,2,5,10
2,1,3,6,10
3,1,4,4,11
4,1,5,5,11
5,1,6,6,11
6,1,7,4,12
7,1,8,5,12
8,1,9,6,12
9,2,1,4,13
10,2,2,5,13
11,2,3,6,13
12,2,4,4,14
13,2,5,5,14
14,2,6,6,14
15,2,7,4,15
16,2,8,5,15
17,2,9,6,15
18,3,1,4,16
19,3,2,5,16
20,3,3,6,16
21,3,4,4,17
22,3,5,5,17
23,3,6,6,17
24,3,7,4,18
25,3,8,5,18
26,3,9,6,18
27,4,1,4,19
28,4,2,5,19
29,4,3,6,19
30,4,4,4,20
31,4,5,5,20
32,4,6,6,20
33,4,7,4,21
34,4,8,5,21
35,4,9,6,21
36,5,1,4,22
37,5,2,5,22
38,5,3,6,22
39,5,4,4,23
40,5,5,5,23
41,5,6,6,23
42,5,7,4,24
43,5,8,5,24
44,5,9,6,24
45,6,1,4,25
46,6,2,5,25
47,6,3,6,25
48,6,4,4,26
49,6,5,5,26
50,6,6,6,26
51,6,7,4,27
52,6,8,5,27
53,6,9,6,27
54,7,1,4,28
55,7,2,5,28
56,7,3,6,28
57,7,4,4,29
58,7,5,5,29
59,7,6,6,29
60,7,7,4,30
61,7,8,5,30
62,7,9,6,30
63,8,1,4,31
64,8,2,5,31
65,8,3,6,31
66,8,4,4,32
67,8,5,5,32
68,8,6,6,32
69,8,7,4,33
70,8,8,5,33
71,8,9,6,33
72,9,1,4,34
73,9,2,5,34
74,9,3,6,34
75,9,4,4,35
76,9,5,5,35
77,9,6,6,35
78,9,7,4,36
79,9,8,5,36
80,9,9,6,36
81,10,1,4,37
82,10,2,5,37
83,10,3,6,37
84,10,4,4,38
85,10,5,5,38
86,10,6,6,38
87,10,7,4,39
88,10,8,5,39
89,10,9,6,39
90,11,1,4,40
91,11,2,5,40
92,11,3,6,40
93,11,4,4,41
94,11,5,5,41
95,11,6,6,41
96,11,7,4,42
97,11,8,5,42
98,11,9,6,42
99,12,1,4,43
100,12,2,5,43
101,12,3,6,43
102,12,4,4,44
103,12,5,5,44
104,12,6,6,44
105,12,7,4,45
106,12,8,5,45
107,12,9,6,45
108,13,1,4,46
109,13,2,5,46
110,13,3,6,46
111,13,4,4,47
112,13,5,5,47
113,13,6,6,47
114,13,7,4,48
115,13,8,5,48
116,13,9,6,48
117,14,1,4,49
118,14,2,5,49
119,14,3,6,49
120,14,4,4,50
121,14,5,5,50
122,14,6,6,50
123,14,7,4,51
124,14,8,5,51
125,14,9,6,51
126,15,1,4,52
127,15,2,5,52
128,15,3,6,52
129,15,4,4,53
130,15,5,5,53
131,15,6,6,53
132,15,7,4,54
133,15,8,5,54
134,15,9,6,54
135,16,1,7,10
136,16,2,8,10
137,16,3,9,10
