,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep.1,Hep.3,Hep.4,Hep.5,Hep.6,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1
0,100,1,0,2,2,1,1,5,12,52,35,5,1,1,1,7,0,0,0,4,2
1,100,2,1,3,2,0,0,0,6,81,43,2,4,0,2,4,0,0,0,3,2
2,100,3,0,6,0,3,1,0,7,73,53,1,1,1,2,8,0,0,0,5,0
3,100,4,0,5,6,0,3,5,6,50,38,2,2,1,0,3,0,0,1,3,3
4,100,5,0,6,1,0,0,1,8,44,48,1,0,0,1,6,0,0,0,4,2
5,100,6,0,5,5,0,1,5,6,49,50,4,5,4,4,6,0,0,0,2,2
6,100,7,0,4,0,0,0,3,5,64,39,0,1,2,2,3,0,0,0,3,1
7,100,8,0,5,4,0,1,4,6,57,40,3,3,1,2,7,0,0,0,4,2
8,100,9,1,5,1,0,3,0,15,62,28,3,1,2,3,2,0,0,0,2,2
9,101,1,0,8,2,0,1,1,5,63,38,2,4,2,2,7,0,0,0,7,0
10,101,2,0,2,2,0,0,0,3,57,44,3,1,2,3,4,0,0,0,3,0
11,101,3,0,3,1,0,1,1,5,66,50,2,4,3,0,6,0,0,0,2,1
12,101,4,0,5,1,0,0,5,6,60,39,1,0,0,1,1,0,0,0,4,1
13,101,5,0,7,0,0,1,0,4,57,42,3,3,0,1,8,0,0,0,3,0
14,101,6,0,5,0,0,1,2,4,77,46,4,2,0,1,4,0,0,0,7,0
15,101,7,0,5,0,0,0,28,12,35,31,2,2,3,1,0,0,0,0,4,0
16,101,8,0,9,2,0,0,6,6,52,46,1,1,1,1,8,0,0,0,2,2
17,101,9,0,3,2,0,0,2,1,58,63,5,3,0,2,3,0,0,0,4,1
18,102,1,0,3,5,0,0,25,15,37,18,2,2,1,3,4,0,0,1,6,0
19,102,2,0,6,1,4,0,2,13,56,35,0,1,1,0,6,0,3,1,9,1
20,102,3,0,1,2,0,0,4,7,56,54,2,0,0,2,2,0,0,0,9,2
21,102,4,0,1,0,0,0,3,9,45,53,2,1,0,0,5,0,0,0,1,1
22,102,5,2,6,0,5,0,1,9,39,41,0,3,1,1,0,0,10,0,14,0
23,102,6,0,1,2,0,1,5,3,62,44,3,0,1,0,7,0,0,0,4,1
24,102,7,0,7,3,0,2,1,4,53,49,4,1,1,2,4,0,0,1,0,3
25,102,8,0,6,0,0,1,6,7,53,44,6,2,0,0,5,0,0,0,2,0
26,102,9,0,9,2,0,1,1,6,62,38,5,3,0,1,6,0,0,1,4,1
27,103,1,0,7,4,0,0,5,4,41,42,4,2,0,0,1,0,0,0,2,2
28,103,2,0,6,6,0,0,5,5,44,39,6,1,1,1,1,0,0,0,4,1
29,103,3,1,7,0,0,1,5,6,53,36,3,3,0,0,6,0,0,1,5,3
30,103,4,3,4,3,0,0,18,7,39,19,1,2,2,0,4,0,0,0,10,1
31,103,5,0,2,5,0,1,31,18,35,14,0,5,0,0,0,0,0,2,3,0
32,103,6,0,3,4,0,0,7,3,55,43,2,1,1,1,3,0,0,0,5,7
33,103,7,0,3,4,0,1,17,10,55,30,4,3,2,0,9,0,0,0,3,1
34,103,8,0,7,4,0,1,25,10,34,27,0,2,0,2,6,0,0,0,4,1
35,103,9,0,3,2,0,1,3,6,54,59,3,4,0,2,4,0,0,0,1,5
36,104,1,0,2,2,0,1,1,4,59,60,2,0,1,2,6,0,0,0,4,1
37,104,2,0,2,3,0,2,2,5,47,53,3,3,2,2,4,0,0,0,3,2
38,104,3,0,2,4,0,0,17,8,53,38,0,1,0,0,4,0,0,0,5,0
39,104,4,0,8,2,2,0,0,5,55,39,3,6,2,0,1,0,19,1,20,0
40,104,5,0,3,1,0,0,7,10,51,47,3,1,0,2,3,0,0,0,2,2
41,104,6,0,7,3,0,0,55,13,28,5,1,2,1,1,2,0,0,2,6,0
42,104,7,0,7,0,0,2,2,6,61,55,4,5,1,1,3,0,2,0,4,0
43,104,8,0,3,4,0,1,3,2,67,52,2,2,2,1,1,0,0,0,4,2
44,104,9,0,2,1,0,1,22,6,70,30,0,1,2,2,1,0,0,0,2,1
45,105,1,0,1,0,0,2,0,2,17,5,0,0,2,0,2,0,0,0,2,0
46,105,2,0,2,1,0,0,1,2,25,2,0,0,0,0,0,0,0,0,1,2
47,105,3,0,4,0,0,0,3,3,28,12,1,0,0,1,1,0,0,0,2,1
48,105,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,105,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
50,105,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51,105,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,105,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,105,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,106,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,106,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,106,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,106,5,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
59,106,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,106,7,0,4,2,0,0,2,6,47,30,4,1,1,1,3,0,0,0,1,2
61,106,8,0,1,1,0,0,2,6,40,28,1,1,1,0,0,0,0,0,0,1
62,106,9,0,4,1,0,0,1,2,26,16,2,4,0,0,2,0,0,0,0,1
63,107,1,1,3,3,0,0,4,6,57,51,4,1,3,1,3,0,0,0,4,0
64,107,2,0,4,2,0,0,5,8,48,63,1,1,0,0,1,0,0,0,2,0
65,107,3,0,3,0,0,0,2,4,62,57,1,0,1,0,3,0,0,0,2,0
66,107,4,0,1,4,0,0,2,3,49,52,1,1,1,0,9,0,0,0,2,4
67,107,5,0,3,1,0,1,3,5,37,53,2,1,3,2,6,0,0,0,2,1
68,107,6,0,6,1,0,0,5,7,52,46,3,2,1,0,5,0,0,0,2,1
69,107,7,0,3,1,9,0,0,10,56,45,0,6,1,0,4,0,0,0,7,0
70,107,8,0,4,0,0,0,3,4,50,62,0,2,0,2,6,0,0,0,2,1
71,107,9,0,7,1,0,0,6,2,57,33,2,1,0,1,3,0,0,0,4,1
72,108,1,0,0,2,0,1,2,10,51,38,4,3,1,3,3,0,0,0,3,1
73,108,2,1,6,6,0,1,8,6,29,52,1,0,3,2,4,0,0,0,0,1
74,108,3,0,4,3,0,0,21,13,36,27,2,4,2,3,2,0,0,0,7,0
75,108,4,1,3,10,0,1,15,10,30,30,3,3,0,2,4,0,0,0,5,1
76,108,5,1,5,2,1,0,29,12,31,20,5,1,1,2,3,0,0,0,1,0
77,108,6,0,6,5,0,2,29,17,31,11,3,0,0,2,4,0,2,3,9,3
78,108,7,1,1,3,0,0,3,14,44,46,2,4,3,0,8,0,0,0,5,1
79,108,8,0,1,0,0,2,6,14,35,52,7,0,4,2,4,0,0,0,5,2
80,108,9,0,3,4,0,1,3,6,43,60,6,0,0,1,10,0,0,0,6,1
81,109,1,0,4,1,4,0,1,13,65,42,2,1,0,0,4,0,4,0,16,0
82,109,2,0,5,1,3,1,1,19,55,39,3,1,0,2,2,0,3,1,5,0
83,109,3,0,3,0,1,0,0,5,75,46,11,1,0,0,6,0,0,0,2,0
84,109,4,0,1,0,0,0,0,4,70,45,0,2,0,0,3,0,0,0,3,1
85,109,5,0,11,1,3,0,0,12,49,46,2,2,0,0,4,0,10,0,11,2
86,109,6,2,11,1,15,0,0,12,58,39,3,4,1,2,5,0,19,0,25,3
87,109,7,0,5,0,0,0,3,6,45,60,4,1,0,1,5,0,0,0,4,2
88,109,8,0,6,1,0,0,4,3,48,52,7,1,2,1,5,0,0,0,3,3
89,109,9,0,3,3,0,1,5,14,66,39,6,1,3,1,2,0,0,0,6,1
90,10,1,0,6,2,0,0,30,14,38,23,3,2,1,1,6,0,0,0,10,1
91,10,2,0,3,1,0,0,3,5,58,59,8,1,0,1,4,0,0,0,1,3
92,10,3,0,1,1,10,1,0,6,61,56,0,1,1,0,4,0,6,0,13,1
93,10,4,0,7,3,0,0,2,4,44,46,6,9,1,3,7,0,0,0,7,6
94,10,5,0,8,1,2,0,4,6,51,52,5,2,0,2,4,0,1,0,9,3
95,10,6,0,6,1,0,0,0,9,56,63,2,1,3,1,7,0,1,0,11,0
96,10,7,0,5,1,0,0,0,9,58,69,7,1,1,2,5,0,1,0,3,3
97,10,8,0,1,1,11,0,0,19,61,32,0,2,0,0,4,0,11,0,16,1
98,10,9,1,3,0,8,0,1,17,42,61,3,1,0,0,1,0,7,0,17,0
99,110,1,0,3,3,0,0,2,10,68,31,5,1,0,0,5,0,0,0,1,3
100,110,2,0,5,3,0,0,18,11,42,30,4,0,0,0,9,0,0,0,4,4
101,110,3,0,4,3,0,2,8,12,52,32,6,2,4,0,2,0,0,0,3,2
102,110,4,0,4,3,0,0,2,7,54,32,6,1,0,0,5,0,0,0,5,2
103,110,5,0,4,4,0,0,6,11,47,34,2,5,2,0,3,0,0,0,3,2
104,110,6,0,8,3,0,0,10,7,49,43,1,3,3,1,6,0,0,0,3,6
105,110,7,0,5,2,4,0,2,17,74,40,0,2,1,1,3,0,0,0,8,0
106,110,8,0,3,2,0,0,1,8,57,52,3,1,0,0,5,0,0,0,6,3
107,110,9,0,9,5,0,0,5,7,52,59,4,3,1,0,6,0,0,0,6,5
108,111,1,0,4,0,0,0,2,10,69,47,2,3,2,0,3,0,0,0,3,0
109,111,2,0,1,0,0,0,1,9,54,62,4,2,1,3,6,0,0,0,4,1
110,111,3,0,4,3,0,1,0,9,52,53,6,0,0,1,7,0,0,1,5,3
111,111,4,0,4,1,0,3,1,4,47,54,0,1,0,1,9,0,0,0,4,1
112,111,5,0,4,1,0,0,0,10,53,62,4,1,1,1,8,0,0,1,11,0
113,111,6,0,5,0,1,0,1,18,74,50,4,3,0,2,6,0,0,0,11,1
114,111,7,0,4,4,0,1,1,2,46,61,3,2,2,1,10,0,0,0,5,1
115,111,8,0,1,1,1,0,0,13,58,38,1,2,1,2,2,0,9,0,16,3
116,111,9,0,8,0,0,2,0,12,74,57,5,3,0,1,11,0,1,0,12,1
117,112,1,0,2,0,0,0,0,5,64,55,2,7,1,0,4,0,0,0,6,1
118,112,2,0,6,3,0,0,1,8,49,68,2,0,1,1,11,0,0,0,9,1
119,112,3,0,3,1,0,2,1,5,65,66,9,1,2,3,4,0,0,0,7,3
120,112,4,0,1,0,0,0,1,3,53,51,4,10,0,0,5,0,0,0,4,3
121,112,5,0,11,1,0,1,1,9,42,59,7,3,2,4,6,0,0,0,1,4
122,112,6,0,9,3,0,0,1,7,57,49,5,1,1,2,11,0,0,0,4,2
123,112,7,0,9,1,0,0,1,9,42,50,7,3,1,0,6,0,0,1,4,2
124,112,8,0,7,4,0,0,16,14,41,40,11,2,0,1,5,0,0,0,2,4
125,112,9,0,12,3,0,0,10,15,47,54,2,3,3,2,6,0,0,0,5,3
126,113,1,1,5,1,0,0,6,18,42,34,2,1,1,2,4,0,0,0,7,3
127,113,2,0,7,3,0,1,25,21,16,16,2,5,0,1,1,0,0,0,5,0
128,113,3,0,5,3,0,0,17,4,54,44,4,0,4,0,2,0,0,0,5,1
129,113,4,0,5,3,0,0,22,6,46,21,4,3,0,1,3,0,0,0,2,0
130,113,5,0,6,4,0,0,42,23,26,6,3,1,0,1,6,0,0,2,7,0
131,113,6,0,4,1,0,0,10,6,51,39,4,2,1,1,5,0,0,0,3,0
132,113,7,0,5,2,0,0,9,8,60,41,1,2,4,2,3,0,0,0,3,2
133,113,8,0,5,5,0,0,39,14,38,14,3,1,1,0,2,0,1,2,8,1
134,113,9,1,4,4,0,0,18,21,35,31,4,1,2,0,2,0,1,0,5,4
135,114,1,0,3,2,0,0,10,9,12,1,1,2,1,0,1,0,0,1,7,1
136,114,2,0,1,1,0,0,30,13,43,16,3,1,3,0,2,0,0,1,10,0
137,114,3,0,5,4,0,0,11,4,63,40,5,3,2,4,1,0,0,0,8,3
138,114,4,0,5,0,0,0,16,14,45,32,9,2,1,1,7,0,0,0,4,3
139,114,5,0,5,2,0,1,33,11,42,24,1,1,0,2,4,0,0,0,3,2
140,114,6,0,3,2,0,0,4,6,56,46,2,3,1,1,6,0,0,0,3,1
141,114,7,0,7,7,0,0,2,13,48,69,5,7,2,0,6,0,0,0,2,1
142,114,8,0,0,2,0,0,9,3,57,47,2,0,0,1,4,0,0,0,5,0
143,114,9,0,6,1,0,0,3,4,72,52,1,1,0,1,7,0,1,0,1,3
144,115,1,0,2,6,0,0,2,5,67,37,2,0,1,0,5,0,0,0,5,2
145,115,2,0,1,3,0,0,10,5,61,37,1,1,0,0,4,0,0,0,5,0
146,115,3,0,5,1,0,0,1,6,80,39,8,2,0,3,5,0,0,0,4,1
147,115,4,0,9,0,1,0,0,9,73,36,2,0,1,3,3,0,1,0,5,0
148,115,5,0,2,2,0,0,1,7,67,43,0,1,0,1,2,0,0,0,3,2
149,115,6,4,12,0,0,2,0,6,45,33,2,4,2,0,3,0,3,0,15,0
150,115,7,0,2,2,0,0,3,6,55,39,0,3,1,1,3,0,0,0,8,1
151,115,8,0,2,0,2,0,1,7,71,46,0,0,1,0,4,0,0,0,5,2
152,115,9,0,7,0,0,0,0,1,4,2,0,1,2,0,0,0,1,0,6,0
153,116,1,0,3,2,0,1,23,2,41,2,0,1,0,0,1,0,0,1,4,1
154,116,2,0,2,2,0,0,28,4,33,7,2,1,1,0,4,0,0,0,1,2
155,116,3,1,5,0,0,0,8,6,11,1,0,1,1,0,0,0,2,1,6,0
156,116,4,0,2,2,0,0,17,7,46,3,1,0,0,2,1,0,0,0,3,1
157,116,5,1,5,0,0,0,22,8,28,8,0,1,1,0,3,0,0,0,3,2
158,116,6,1,2,0,0,0,2,2,6,0,0,0,1,0,0,0,3,1,9,0
159,116,7,0,2,2,0,0,18,10,42,14,1,3,0,0,1,0,0,0,5,0
160,116,8,0,7,1,0,0,33,12,24,1,0,1,6,2,1,0,0,0,4,1
161,116,9,0,4,0,0,0,6,1,2,1,0,2,2,2,0,0,0,0,5,0
162,117,1,0,2,5,0,0,15,19,64,16,5,3,1,1,1,0,0,0,1,0
163,117,2,3,5,1,0,0,25,5,16,0,0,2,2,0,1,0,0,0,15,0
164,117,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
165,117,4,1,3,1,0,3,5,12,66,23,3,3,0,4,5,0,0,1,6,1
166,117,5,1,2,0,0,0,33,9,21,6,1,5,1,0,2,0,1,2,12,1
167,117,6,3,4,1,0,0,10,1,8,1,0,3,0,1,1,0,1,2,8,0
168,117,7,0,3,3,0,0,22,8,52,3,2,0,0,1,1,0,0,0,3,2
169,117,8,0,3,7,0,0,23,9,49,18,0,2,1,1,0,0,0,1,4,5
170,117,9,4,6,2,0,0,11,4,26,14,0,1,0,0,1,0,5,2,14,0
171,118,1,0,5,6,0,0,21,10,54,28,1,1,3,3,4,0,0,0,6,2
172,118,2,0,4,3,0,1,2,8,53,42,3,1,4,2,3,0,0,0,3,5
173,118,3,1,4,2,0,1,9,2,54,49,2,1,0,0,1,0,1,0,4,0
174,118,4,0,3,0,0,0,2,7,65,40,0,5,0,2,6,0,0,0,5,3
175,118,5,0,4,0,0,1,0,6,68,57,1,2,0,2,5,0,0,0,2,0
176,118,6,0,5,3,0,0,2,6,83,56,1,0,2,0,2,0,0,0,0,0
177,118,7,0,4,1,6,1,2,9,66,51,0,2,0,1,3,0,8,0,12,1
178,118,8,0,6,0,0,1,3,5,91,59,4,1,3,1,3,0,0,0,2,1
179,118,9,0,4,2,0,2,6,3,72,52,2,2,2,0,4,0,0,0,1,3
180,119,1,1,2,0,0,0,2,10,65,31,2,1,2,0,1,0,8,0,11,1
181,119,2,0,1,4,0,0,12,11,52,38,4,1,0,0,0,0,0,0,3,1
182,119,3,0,3,3,0,0,9,5,55,42,1,2,0,1,4,0,0,0,4,1
183,119,4,0,4,0,10,0,0,10,64,39,2,1,0,0,2,0,7,1,14,0
184,119,5,0,1,2,0,0,9,5,57,45,5,4,0,0,5,0,0,0,1,3
185,119,6,0,5,3,0,0,44,10,35,14,1,4,0,0,2,0,0,0,5,0
186,119,7,0,6,0,2,1,2,15,81,51,1,1,0,1,5,0,0,0,4,1
187,119,8,0,2,1,2,0,1,12,77,49,2,3,2,0,2,0,1,0,2,4
188,119,9,0,3,1,0,0,4,5,74,51,2,2,0,0,4,0,0,0,3,1
189,11,1,0,9,4,0,0,7,4,37,65,5,1,1,3,3,0,0,0,3,3
190,11,2,1,2,3,0,1,2,14,43,49,9,1,2,2,4,0,0,0,4,1
191,11,3,0,4,0,7,1,1,5,51,74,7,2,1,2,2,0,4,0,13,0
192,11,4,0,8,6,0,2,22,15,26,32,3,4,1,1,2,0,0,2,6,1
193,11,5,0,4,3,0,1,11,6,35,52,5,3,0,2,1,0,0,0,2,3
194,11,6,0,6,3,0,1,2,6,41,56,11,4,0,3,2,0,0,1,0,4
195,11,7,0,6,4,0,0,33,12,32,21,7,1,1,1,1,0,0,0,5,1
196,11,8,0,5,2,0,0,6,4,43,51,6,2,0,0,3,0,0,0,2,3
197,11,9,0,1,0,5,0,2,6,52,60,2,1,1,1,1,0,1,0,8,1
198,120,1,0,4,1,0,0,9,9,61,32,0,1,1,3,2,0,0,3,7,1
199,120,2,0,6,2,0,1,2,7,62,33,2,0,4,1,3,0,0,0,3,1
200,120,3,2,5,0,3,1,0,15,78,39,1,1,2,0,7,0,5,0,6,1
201,120,4,0,5,6,0,2,9,9,43,25,1,4,1,1,3,0,0,0,8,1
202,120,5,0,7,2,0,0,13,15,35,25,4,2,0,0,5,0,0,1,3,0
203,120,6,1,2,0,3,2,3,7,73,47,1,1,0,0,4,0,3,0,2,2
204,120,7,1,3,2,0,0,10,17,66,19,2,2,1,1,3,0,0,0,2,2
205,120,8,0,6,6,0,1,12,11,50,26,2,5,0,2,2,0,0,0,5,2
206,120,9,0,9,1,0,0,5,11,74,50,3,2,3,0,3,0,0,0,0,0
207,121,1,0,13,4,0,0,3,13,59,36,2,0,1,2,4,0,0,0,2,0
208,121,2,0,2,7,0,0,3,9,63,30,1,0,1,1,4,0,0,0,5,1
209,121,3,0,8,1,0,0,3,14,55,51,5,2,3,2,1,0,0,0,7,0
210,121,4,0,5,0,2,0,0,12,60,31,2,2,3,3,6,0,0,0,10,2
211,121,5,0,4,4,1,1,0,13,50,44,3,4,2,3,2,0,0,0,9,1
212,121,6,0,4,2,1,1,3,7,54,44,1,2,1,0,10,0,1,0,4,2
213,121,7,0,9,2,0,1,0,10,46,49,1,5,2,1,3,0,0,0,6,1
