,fov,spot_id,x,y
63,107,1,19,7
64,107,2,20,7
65,107,3,21,7
66,107,4,19,8
67,107,5,20,8
68,107,6,21,8
69,107,7,19,9
70,107,8,20,9
71,107,9,21,9
72,108,1,19,10
73,108,2,20,10
74,108,3,21,10
75,108,4,19,11
76,108,5,20,11
77,108,6,21,11
78,108,7,19,12
79,108,8,20,12
80,108,9,21,12
81,109,1,19,13
82,109,2,20,13
83,109,3,21,13
84,109,4,19,14
85,109,5,20,14
86,109,6,21,14
87,109,7,19,15
88,109,8,20,15
89,109,9,21,15
90,10,1,4,31
91,10,2,5,31
92,10,3,6,31
93,10,4,4,32
94,10,5,5,32
95,10,6,6,32
96,10,7,4,33
97,10,8,5,33
98,10,9,6,33
99,110,1,19,16
100,110,2,20,16
101,110,3,21,16
102,110,4,19,17
103,110,5,20,17
104,110,6,21,17
105,110,7,19,18
106,110,8,20,18
107,110,9,21,18
108,111,1,19,19
109,111,2,20,19
110,111,3,21,19
111,111,4,19,20
112,111,5,20,20
113,111,6,21,20
114,111,7,19,21
115,111,8,20,21
116,111,9,21,21
117,112,1,19,22
118,112,2,20,22
119,112,3,21,22
120,112,4,19,23
121,112,5,20,23
122,112,6,21,23
123,112,7,19,24
124,112,8,20,24
125,112,9,21,24
126,113,1,19,25
127,113,2,20,25
128,113,3,21,25
129,113,4,19,26
130,113,5,20,26
131,113,6,21,26
132,113,7,19,27
133,113,8,20,27
134,113,9,21,27
135,114,1,19,28
136,114,2,20,28
137,114,3,21,28
138,114,4,19,29
139,114,5,20,29
140,114,6,21,29
141,114,7,19,30
142,114,8,20,30
143,114,9,21,30
270,128,1,22,7
271,128,2,23,7
272,128,3,24,7
273,128,4,22,8
274,128,5,23,8
275,128,6,24,8
276,128,7,22,9
277,128,8,23,9
278,128,9,24,9
279,129,1,22,10
280,129,2,23,10
281,129,3,24,10
282,129,4,22,11
283,129,5,23,11
284,129,6,24,11
285,129,7,22,12
286,129,8,23,12
287,129,9,24,12
297,130,1,22,13
298,130,2,23,13
299,130,3,24,13
300,130,4,22,14
301,130,5,23,14
302,130,6,24,14
303,130,7,22,15
304,130,8,23,15
305,130,9,24,15
306,131,1,22,16
307,131,2,23,16
308,131,3,24,16
309,131,4,22,17
310,131,5,23,17
311,131,6,24,17
312,131,7,22,18
313,131,8,23,18
314,131,9,24,18
315,132,1,22,19
316,132,2,23,19
317,132,3,24,19
318,132,4,22,20
319,132,5,23,20
320,132,6,24,20
321,132,7,22,21
322,132,8,23,21
323,132,9,24,21
324,133,1,22,22
325,133,2,23,22
326,133,3,24,22
327,133,4,22,23
328,133,5,23,23
329,133,6,24,23
330,133,7,22,24
331,133,8,23,24
332,133,9,24,24
333,134,1,22,25
334,134,2,23,25
335,134,3,24,25
336,134,4,22,26
337,134,5,23,26
338,134,6,24,26
339,134,7,22,27
340,134,8,23,27
341,134,9,24,27
342,135,1,22,28
343,135,2,23,28
344,135,3,24,28
345,135,4,22,29
346,135,5,23,29
347,135,6,24,29
348,135,7,22,30
349,135,8,23,30
350,135,9,24,30
1260,23,1,7,7
1261,23,2,8,7
1262,23,3,9,7
1263,23,4,7,8
1264,23,5,8,8
1265,23,6,9,8
1266,23,7,7,9
1267,23,8,8,9
1268,23,9,9,9
1359,24,1,7,10
1360,24,2,8,10
1361,24,3,9,10
1362,24,4,7,11
1363,24,5,8,11
1364,24,6,9,11
1365,24,7,7,12
1366,24,8,8,12
1367,24,9,9,12
1449,25,1,7,13
1450,25,2,8,13
1451,25,3,9,13
1452,25,4,7,14
1453,25,5,8,14
1454,25,6,9,14
1455,25,7,7,15
1456,25,8,8,15
1457,25,9,9,15
1530,26,1,7,16
1531,26,2,8,16
1532,26,3,9,16
1533,26,4,7,17
1534,26,5,8,17
1535,26,6,9,17
1536,26,7,7,18
1537,26,8,8,18
1538,26,9,9,18
1629,27,1,7,19
1630,27,2,8,19
1631,27,3,9,19
1632,27,4,7,20
1633,27,5,8,20
1634,27,6,9,20
1635,27,7,7,21
1636,27,8,8,21
1637,27,9,9,21
1701,28,1,7,22
1702,28,2,8,22
1703,28,3,9,22
1704,28,4,7,23
1705,28,5,8,23
1706,28,6,9,23
1707,28,7,7,24
1708,28,8,8,24
1709,28,9,9,24
1755,29,1,7,25
1756,29,2,8,25
1757,29,3,9,25
1758,29,4,7,26
1759,29,5,8,26
1760,29,6,9,26
1761,29,7,7,27
1762,29,8,8,27
1763,29,9,9,27
1764,2,1,4,7
1765,2,2,5,7
1766,2,3,6,7
1767,2,4,4,8
1768,2,5,5,8
1769,2,6,6,8
1770,2,7,4,9
1771,2,8,5,9
1772,2,9,6,9
1773,30,1,7,28
1774,30,2,8,28
1775,30,3,9,28
1776,30,4,7,29
1777,30,5,8,29
1778,30,6,9,29
1779,30,7,7,30
1780,30,8,8,30
1781,30,9,9,30
1782,31,1,7,31
1783,31,2,8,31
1784,31,3,9,31
1785,31,4,7,32
1786,31,5,8,32
1787,31,6,9,32
1788,31,7,7,33
1789,31,8,8,33
1790,31,9,9,33
1863,3,1,4,10
1864,3,2,5,10
1865,3,3,6,10
1866,3,4,4,11
1867,3,5,5,11
1868,3,6,6,11
1869,3,7,4,12
1870,3,8,5,12
1871,3,9,6,12
1890,44,1,10,7
1891,44,2,11,7
1892,44,3,12,7
1893,44,4,10,8
1894,44,5,11,8
1895,44,6,12,8
1896,44,7,10,9
1897,44,8,11,9
1898,44,9,12,9
1899,45,1,10,10
1900,45,2,11,10
1901,45,3,12,10
1902,45,4,10,11
1903,45,5,11,11
1904,45,6,12,11
1905,45,7,10,12
1906,45,8,11,12
1907,45,9,12,12
1908,46,1,10,13
1909,46,2,11,13
1910,46,3,12,13
1911,46,4,10,14
1912,46,5,11,14
1913,46,6,12,14
1914,46,7,10,15
1915,46,8,11,15
1916,46,9,12,15
1917,47,1,10,16
1918,47,2,11,16
1919,47,3,12,16
1920,47,4,10,17
1921,47,5,11,17
1922,47,6,12,17
1923,47,7,10,18
1924,47,8,11,18
1925,47,9,12,18
1926,48,1,10,19
1927,48,2,11,19
1928,48,3,12,19
1929,48,4,10,20
1930,48,5,11,20
1931,48,6,12,20
1932,48,7,10,21
1933,48,8,11,21
1934,48,9,12,21
1935,49,1,10,22
1936,49,2,11,22
1937,49,3,12,22
1938,49,4,10,23
1939,49,5,11,23
1940,49,6,12,23
1941,49,7,10,24
1942,49,8,11,24
1943,49,9,12,24
1944,4,1,4,13
1945,4,2,5,13
1946,4,3,6,13
1947,4,4,4,14
1948,4,5,5,14
1949,4,6,6,14
1950,4,7,4,15
1951,4,8,5,15
1952,4,9,6,15
1953,50,1,10,25
1954,50,2,11,25
1955,50,3,12,25
1956,50,4,10,26
1957,50,5,11,26
1958,50,6,12,26
1959,50,7,10,27
1960,50,8,11,27
1961,50,9,12,27
1962,51,1,10,28
1963,51,2,11,28
1964,51,3,12,28
1965,51,4,10,29
1966,51,5,11,29
1967,51,6,12,29
1968,51,7,10,30
1969,51,8,11,30
1970,51,9,12,30
1971,52,1,10,31
1972,52,2,11,31
1973,52,3,12,31
1974,52,4,10,32
1975,52,5,11,32
1976,52,6,12,32
1977,52,7,10,33
1978,52,8,11,33
1979,52,9,12,33
2043,5,1,4,16
2044,5,2,5,16
2045,5,3,6,16
2046,5,4,4,17
2047,5,5,5,17
2048,5,6,6,17
2049,5,7,4,18
2050,5,8,5,18
2051,5,9,6,18
2088,65,1,13,7
2089,65,2,14,7
2090,65,3,15,7
2091,65,4,13,8
