,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep.1,Hep.3,Hep.4,Hep.5,Hep.6,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1
468,149,1,0,5,2,0,0,4,4,52,27,0,2,2,2,2,0,0,0,2,1
469,149,2,0,6,0,1,0,1,7,65,49,0,0,0,0,1,0,0,1,5,1
470,149,3,0,6,1,0,1,4,3,67,42,1,1,0,0,6,0,0,0,3,1
471,149,4,0,3,3,0,0,10,1,66,29,5,2,3,0,2,0,0,0,2,1
472,149,5,0,1,3,0,0,2,6,71,52,0,2,1,2,8,0,0,0,3,2
473,149,6,0,9,0,0,0,5,6,60,60,2,1,0,0,8,0,0,0,2,0
474,149,7,0,3,1,0,0,1,10,54,44,7,4,0,1,7,0,0,0,1,0
475,149,8,1,6,0,5,1,1,7,71,48,4,1,1,1,3,0,5,1,12,0
476,149,9,0,3,1,1,0,1,3,75,45,3,2,1,0,2,0,1,0,10,2
486,150,1,0,8,0,0,0,2,13,51,47,4,2,2,1,3,0,0,0,6,0
487,150,2,6,9,2,1,0,0,12,55,30,3,1,0,0,2,0,10,0,16,0
488,150,3,9,6,0,28,0,1,20,27,23,1,5,2,0,1,0,43,0,27,0
489,150,4,0,2,4,0,0,4,12,44,43,2,1,1,1,3,0,0,0,2,2
490,150,5,0,9,2,2,1,1,15,40,40,5,5,1,2,2,0,3,0,13,0
491,150,6,0,10,1,24,0,0,18,42,26,3,7,0,1,0,0,7,0,24,0
492,150,7,0,9,4,0,0,3,9,47,45,7,6,0,2,2,0,0,0,2,0
493,150,8,0,5,0,5,0,2,15,56,47,4,2,1,1,4,0,3,0,13,1
494,150,9,0,1,0,2,3,0,16,69,51,7,3,2,1,8,0,1,0,7,0
495,151,1,0,3,0,6,2,2,7,50,36,1,6,2,4,9,0,0,0,9,2
496,151,2,0,2,4,0,0,5,14,33,49,3,2,1,0,8,0,0,0,3,4
497,151,3,0,8,2,0,0,2,6,45,38,7,4,2,1,6,0,0,0,4,2
498,151,4,0,5,1,0,0,1,7,40,40,4,4,0,0,11,0,0,0,2,4
499,151,5,1,10,1,0,0,14,22,35,37,2,1,1,1,2,0,0,0,2,2
500,151,6,0,8,9,0,0,12,4,62,45,4,4,1,0,9,0,0,0,3,1
501,151,7,0,4,2,0,1,2,9,56,35,4,2,1,3,6,0,0,0,6,5
502,151,8,0,4,3,0,0,3,10,59,48,4,6,1,0,8,0,0,0,3,3
503,151,9,0,3,3,0,1,12,7,57,59,5,4,2,0,4,0,0,0,3,1
504,152,1,0,10,3,0,0,7,10,52,14,2,6,0,1,12,0,0,0,4,5
505,152,2,0,3,5,0,0,16,14,46,7,3,5,2,2,3,0,0,0,6,1
506,152,3,0,9,2,0,0,13,13,30,32,6,1,3,0,3,0,0,0,5,2
507,152,4,0,7,4,0,0,28,24,30,7,1,3,4,2,3,0,0,1,4,2
508,152,5,0,8,1,2,0,19,29,21,13,2,5,0,3,2,0,0,0,7,0
509,152,6,0,13,0,0,0,21,49,16,11,0,4,0,2,5,0,0,4,14,2
510,152,7,0,8,6,0,2,3,10,44,46,4,0,1,1,5,0,0,0,4,5
511,152,8,0,8,1,0,0,1,10,49,40,1,2,1,1,9,0,0,0,5,1
512,152,9,0,10,7,0,0,49,16,40,12,2,4,2,3,9,0,0,1,5,1
513,153,1,0,6,7,0,0,0,9,56,29,4,7,1,0,7,0,0,0,3,2
514,153,2,0,5,3,0,2,5,10,58,29,6,1,2,2,3,0,1,0,6,0
515,153,3,0,6,2,0,0,32,12,31,28,2,4,1,2,2,0,0,0,7,1
516,153,4,0,5,2,0,0,13,11,58,24,4,1,1,2,4,0,0,0,3,4
517,153,5,0,5,3,0,0,7,10,61,29,2,2,0,3,3,0,0,0,3,1
518,153,6,0,9,2,0,0,7,8,48,49,6,3,0,3,4,0,0,0,0,1
519,153,7,0,2,0,3,0,2,3,49,45,1,2,0,0,9,0,1,0,6,1
520,153,8,0,5,1,4,0,0,7,61,64,5,0,0,1,7,0,3,0,6,0
521,153,9,0,4,0,5,1,1,19,62,39,4,0,0,2,4,0,7,0,23,0
522,154,1,0,3,0,6,0,0,17,51,48,2,1,1,0,2,0,6,1,17,1
523,154,2,1,7,0,9,0,0,18,46,43,0,4,0,1,4,0,9,0,22,2
524,154,3,0,3,1,7,2,1,11,66,55,2,3,2,2,8,0,3,0,7,1
525,154,4,0,7,3,0,1,2,4,38,52,5,5,2,2,3,1,0,0,4,4
526,154,5,0,6,3,0,1,5,2,41,50,12,5,2,0,5,0,0,0,2,3
527,154,6,0,10,1,0,0,12,9,49,39,6,3,1,3,1,0,0,0,3,3
528,154,7,0,12,1,0,0,21,21,39,19,3,5,5,1,3,0,0,0,3,2
529,154,8,0,2,3,0,0,48,16,28,10,2,3,0,0,4,0,0,0,5,3
530,154,9,0,3,6,0,2,40,24,17,19,6,4,1,0,5,0,0,0,13,0
