,fov,spot_id,x,y
0,1,1,4,4
1,1,2,5,4
2,1,3,6,4
3,1,4,4,5
4,1,5,5,5
5,1,6,6,5
6,1,7,4,6
7,1,8,5,6
8,1,9,6,6
9,2,1,4,7
10,2,2,5,7
11,2,3,6,7
12,2,4,4,8
13,2,5,5,8
14,2,6,6,8
15,2,7,4,9
16,2,8,5,9
17,2,9,6,9
18,3,1,4,10
19,3,2,5,10
20,3,3,6,10
21,3,4,4,11
22,3,5,5,11
23,3,6,6,11
24,3,7,4,12
25,3,8,5,12
26,3,9,6,12
27,4,1,4,13
28,4,2,5,13
29,4,3,6,13
30,4,4,4,14
31,4,5,5,14
32,4,6,6,14
33,4,7,4,15
34,4,8,5,15
35,4,9,6,15
36,5,1,4,16
37,5,2,5,16
38,5,3,6,16
39,5,4,4,17
40,5,5,5,17
41,5,6,6,17
42,5,7,4,18
43,5,8,5,18
44,5,9,6,18
45,6,1,4,19
46,6,2,5,19
47,6,3,6,19
48,6,4,4,20
49,6,5,5,20
50,6,6,6,20
51,6,7,4,21
52,6,8,5,21
53,6,9,6,21
54,7,1,4,22
55,7,2,5,22
56,7,3,6,22
57,7,4,4,23
58,7,5,5,23
59,7,6,6,23
60,7,7,4,24
61,7,8,5,24
62,7,9,6,24
63,8,1,4,25
64,8,2,5,25
65,8,3,6,25
66,8,4,4,26
67,8,5,5,26
68,8,6,6,26
69,8,7,4,27
70,8,8,5,27
71,8,9,6,27
72,9,1,4,28
73,9,2,5,28
74,9,3,6,28
75,9,4,4,29
76,9,5,5,29
77,9,6,6,29
78,9,7,4,30
79,9,8,5,30
80,9,9,6,30
81,10,1,4,31
82,10,2,5,31
83,10,3,6,31
84,10,4,4,32
85,10,5,5,32
86,10,6,6,32
87,10,7,4,33
88,10,8,5,33
89,10,9,6,33
90,11,1,4,34
91,11,2,5,34
92,11,3,6,34
93,11,4,4,35
94,11,5,5,35
95,11,6,6,35
96,11,7,4,36
97,11,8,5,36
98,11,9,6,36
99,12,1,4,37
100,12,2,5,37
101,12,3,6,37
102,12,4,4,38
103,12,5,5,38
104,12,6,6,38
105,12,7,4,39
106,12,8,5,39
107,12,9,6,39
108,13,1,4,40
109,13,2,5,40
110,13,3,6,40
111,13,4,4,41
112,13,5,5,41
113,13,6,6,41
114,13,7,4,42
115,13,8,5,42
116,13,9,6,42
117,14,1,4,43
118,14,2,5,43
119,14,3,6,43
120,14,4,4,44
121,14,5,5,44
122,14,6,6,44
123,14,7,4,45
124,14,8,5,45
125,14,9,6,45
126,15,1,4,46
127,15,2,5,46
128,15,3,6,46
129,15,4,4,47
130,15,5,5,47
131,15,6,6,47
132,15,7,4,48
133,15,8,5,48
134,15,9,6,48
135,16,1,4,49
136,16,2,5,49
137,16,3,6,49
138,16,4,4,50
139,16,5,5,50
140,16,6,6,50
141,16,7,4,51
142,16,8,5,51
143,16,9,6,51
144,17,1,4,52
145,17,2,5,52
146,17,3,6,52
147,17,4,4,53
148,17,5,5,53
149,17,6,6,53
150,17,7,4,54
151,17,8,5,54
152,17,9,6,54
153,18,1,4,55
154,18,2,5,55
155,18,3,6,55
156,18,4,4,56
157,18,5,5,56
158,18,6,6,56
159,18,7,4,57
160,18,8,5,57
161,18,9,6,57
162,19,1,4,58
163,19,2,5,58
164,19,3,6,58
165,19,4,4,59
166,19,5,5,59
167,19,6,6,59
168,19,7,4,60
169,19,8,5,60
170,19,9,6,60
171,20,1,4,61
172,20,2,5,61
173,20,3,6,61
174,20,4,4,62
175,20,5,5,62
176,20,6,6,62
177,20,7,4,63
178,20,8,5,63
179,20,9,6,63
180,21,1,4,64
181,21,2,5,64
182,21,3,6,64
183,21,4,4,65
184,21,5,5,65
185,21,6,6,65
186,21,7,4,66
187,21,8,5,66
188,21,9,6,66
189,22,1,7,4
190,22,2,8,4
191,22,3,9,4
192,22,4,7,5
193,22,5,8,5
194,22,6,9,5
195,22,7,7,6
196,22,8,8,6
197,22,9,9,6
198,23,1,7,7
199,23,2,8,7
200,23,3,9,7
201,23,4,7,8
202,23,5,8,8
203,23,6,9,8
204,23,7,7,9
205,23,8,8,9
206,23,9,9,9
207,24,1,7,10
208,24,2,8,10
209,24,3,9,10
210,24,4,7,11
211,24,5,8,11
212,24,6,9,11
213,24,7,7,12
214,24,8,8,12
215,24,9,9,12
216,25,1,7,13
217,25,2,8,13
218,25,3,9,13
219,25,4,7,14
220,25,5,8,14
221,25,6,9,14
222,25,7,7,15
223,25,8,8,15
224,25,9,9,15
225,26,1,7,16
226,26,2,8,16
227,26,3,9,16
228,26,4,7,17
229,26,5,8,17
230,26,6,9,17
231,26,7,7,18
232,26,8,8,18
233,26,9,9,18
234,27,1,7,19
235,27,2,8,19
236,27,3,9,19
237,27,4,7,20
238,27,5,8,20
239,27,6,9,20
240,27,7,7,21
241,27,8,8,21
242,27,9,9,21
243,28,1,7,22
244,28,2,8,22
245,28,3,9,22
246,28,4,7,23
247,28,5,8,23
248,28,6,9,23
249,28,7,7,24
250,28,8,8,24
251,28,9,9,24
252,29,1,7,25
253,29,2,8,25
254,29,3,9,25
255,29,4,7,26
256,29,5,8,26
257,29,6,9,26
258,29,7,7,27
259,29,8,8,27
260,29,9,9,27
261,30,1,7,28
262,30,2,8,28
263,30,3,9,28
264,30,4,7,29
265,30,5,8,29
266,30,6,9,29
267,30,7,7,30
268,30,8,8,30
269,30,9,9,30
270,31,1,7,31
271,31,2,8,31
272,31,3,9,31
273,31,4,7,32
274,31,5,8,32
275,31,6,9,32
276,31,7,7,33
277,31,8,8,33
278,31,9,9,33
279,32,1,7,34
280,32,2,8,34
281,32,3,9,34
282,32,4,7,35
283,32,5,8,35
284,32,6,9,35
285,32,7,7,36
286,32,8,8,36
287,32,9,9,36
288,33,1,7,37
289,33,2,8,37
290,33,3,9,37
291,33,4,7,38
292,33,5,8,38
293,33,6,9,38
294,33,7,7,39
295,33,8,8,39
296,33,9,9,39
297,34,1,7,40
298,34,2,8,40
299,34,3,9,40
300,34,4,7,41
301,34,5,8,41
302,34,6,9,41
303,34,7,7,42
304,34,8,8,42
305,34,9,9,42
306,35,1,7,43
307,35,2,8,43
308,35,3,9,43
309,35,4,7,44
310,35,5,8,44
311,35,6,9,44
312,35,7,7,45
313,35,8,8,45
314,35,9,9,45
315,36,1,7,46
316,36,2,8,46
317,36,3,9,46
318,36,4,7,47
319,36,5,8,47
320,36,6,9,47
321,36,7,7,48
322,36,8,8,48
323,36,9,9,48
324,37,1,7,49
325,37,2,8,49
326,37,3,9,49
327,37,4,7,50
328,37,5,8,50
329,37,6,9,50
330,37,7,7,51
331,37,8,8,51
332,37,9,9,51
333,38,1,7,52
334,38,2,8,52
335,38,3,9,52
336,38,4,7,53
337,38,5,8,53
338,38,6,9,53
339,38,7,7,54
340,38,8,8,54
341,38,9,9,54
342,39,1,7,55
343,39,2,8,55
344,39,3,9,55
345,39,4,7,56
346,39,5,8,56
347,39,6,9,56
348,39,7,7,57
349,39,8,8,57
350,39,9,9,57
351,40,1,7,58
352,40,2,8,58
353,40,3,9,58
354,40,4,7,59
355,40,5,8,59
356,40,6,9,59
357,40,7,7,60
358,40,8,8,60
359,40,9,9,60
360,41,1,7,61
361,41,2,8,61
362,41,3,9,61
363,41,4,7,62
364,41,5,8,62
365,41,6,9,62
366,41,7,7,63
367,41,8,8,63
368,41,9,9,63
369,42,1,7,64
370,42,2,8,64
371,42,3,9,64
372,42,4,7,65
373,42,5,8,65
374,42,6,9,65
375,42,7,7,66
376,42,8,8,66
377,42,9,9,66
378,43,1,10,4
379,43,2,11,4
380,43,3,12,4
381,43,4,10,5
382,43,5,11,5
383,43,6,12,5
384,43,7,10,6
385,43,8,11,6
386,43,9,12,6
387,44,1,10,7
388,44,2,11,7
389,44,3,12,7
390,44,4,10,8
391,44,5,11,8
392,44,6,12,8
393,44,7,10,9
394,44,8,11,9
395,44,9,12,9
396,45,1,10,10
397,45,2,11,10
398,45,3,12,10
399,45,4,10,11
400,45,5,11,11
401,45,6,12,11
402,45,7,10,12
403,45,8,11,12
404,45,9,12,12
405,46,1,10,13
406,46,2,11,13
407,46,3,12,13
408,46,4,10,14
