,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,223,225,222,132,235,221,169,101,153,157,130,99,150,193,160,80,97,227,153,117
1,2,165,123,156,119,86,64,129,136,201,203,141,153,239,269,164,147,179,67,114,130
2,3,184,89,88,113,149,113,117,162,187,160,165,136,134,94,80,73,117,86,43,104
3,4,124,118,131,98,156,94,95,143,68,112,46,135,187,236,68,93,238,276,169,100
4,5,145,112,174,153,128,135,129,93,162,143,102,83,132,66,100,65,149,141,141,219
5,6,160,197,118,220,109,167,90,79,108,148,152,129,171,122,78,91,121,117,101,102
6,7,147,169,125,98,170,201,183,168,178,209,170,155,94,145,173,152,98,143,176,166
7,8,183,212,178,145,174,162,208,211,177,136,156,215,86,81,140,183,147,97,105,122
8,9,238,248,205,61,77,134,145,108,90,133,130,164,69,167,140,125,179,150,181,112
9,10,231,185,131,101,156,137,125,117,112,119,50,94,73,157,127,127,110,110,125,57
10,11,113,152,159,91,177,164,173,165,105,78,97,121,136,115,144,90,161,163,197,174
11,12,198,200,190,121,188,210,189,164,176,165,107,170,204,197,89,84,151,197,163,47
12,13,40,89,90,156,63,59,88,193,101,123,94,120,180,121,57,172,180,113,65,176
13,14,71,128,42,101,153,160,94,76,137,132,43,87,115,7,51,70,113,67,105,142
14,15,146,97,40,39,79,79,67,20,107,133,125,96,56,116,149,199,146,110,131,84
15,16,79,109,178,75,120,107,123,95,135,136,68,100,69,54,108,111,31,11,20,150
16,17,168,115,147,128,94,50,137,163,77,99,167,171,168,87,142,130,131,99,71,96
17,18,123,97,27,79,95,60,95,128,118,109,95,108,120,109,92,59,104,119,145,139
18,19,64,98,138,186,15,41,171,215,88,97,195,231,187,63,95,241,174,145,73,111
19,20,124,206,145,182,139,131,186,165,163,49,37,112,158,88,13,88,99,165,127,124
20,21,142,72,121,71,97,140,154,107,121,128,146,137,144,125,118,110,115,84,65,84
21,22,120,89,83,134,87,128,129,83,84,95,96,99,47,89,96,153,73,134,128,151
22,23,228,195,171,187,205,213,172,178,202,172,155,136,120,74,156,170,172,119,172,239
23,24,95,156,145,190,137,160,138,183,148,141,152,195,142,143,106,96,99,119,110,142
24,25,149,131,125,183,159,172,144,175,82,129,83,95,97,135,76,112,178,127,96,74
25,26,123,79,97,83,106,164,135,131,86,115,153,178,152,110,167,188,150,140,155,151
26,27,192,129,135,148,230,160,97,172,216,239,228,136,177,178,189,169,190,149,128,143
27,28,171,199,240,222,146,113,90,152,166,139,133,165,117,149,153,184,148,164,130,167
