,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,104,74,121,102,98,104,157,138,94,69,38,91,100,108,159,181,158,166,133,109
1,2,274,247,145,114,291,131,109,136,225,162,153,133,304,171,157,166,204,205,206,132
2,3,99,134,164,188,155,156,173,63,175,120,174,199,121,65,108,161,170,172,175,170
3,4,112,141,223,202,218,354,265,121,157,183,232,196,167,167,158,183,206,233,166,133
4,5,326,264,205,124,213,205,189,149,152,152,203,251,200,185,167,160,186,165,138,177
5,6,174,316,284,257,178,323,324,350,202,298,281,207,230,222,306,370,238,248,361,315
6,7,262,332,236,174,295,207,122,161,142,216,159,230,246,206,164,191,163,136,131,105
7,8,123,162,150,236,197,118,200,207,132,197,130,93,105,164,150,171,184,213,170,187
8,9,167,187,146,153,203,159,166,124,223,152,161,177,181,158,141,126,155,143,113,119
9,10,150,162,147,136,129,112,155,163,171,126,156,172,176,144,116,111,172,246,171,105
10,11,187,182,133,170,250,227,125,221,310,314,275,247,260,198,158,260,132,130,143,197
11,12,117,166,185,106,159,149,201,225,149,146,170,179,248,335,303,143,143,184,289,200
12,13,143,188,186,148,164,164,172,169,142,133,184,178,176,163,180,152,138,147,151,163
13,14,109,167,152,124,117,139,171,89,120,127,147,117,140,145,126,145,142,162,226,167
14,15,167,176,281,204,124,158,158,169,157,106,143,150,148,117,180,109,141,129,166,227
15,16,173,239,296,198,207,216,209,160,209,276,256,232,362,321,274,177,259,246,194,212
16,17,163,183,188,150,263,159,183,179,162,159,196,195,128,198,172,156,184,198,206,129
17,18,133,156,189,157,148,176,182,126,167,220,167,169,157,130,133,184,153,159,320,291
18,19,131,137,153,178,88,173,150,118,85,151,160,134,151,116,146,135,184,201,157,112
19,20,178,177,120,144,132,151,95,120,141,155,137,210,164,290,338,286,347,438,388,298
20,21,154,134,114,124,156,153,164,141,186,170,196,89,153,146,285,123,164,243,240,117
21,22,176,211,157,131,122,108,121,196,95,94,108,234,95,75,146,218,106,93,169,149
22,23,95,137,184,214,77,139,173,332,98,128,155,248,108,98,202,188,99,121,165,222
23,24,78,142,163,133,126,130,131,136,106,131,114,142,118,147,120,94,122,148,217,82
24,25,118,155,215,104,135,130,185,214,165,103,199,250,164,105,252,311,280,284,343,397
25,26,91,127,173,297,114,183,197,239,152,282,209,82,154,234,120,120,226,204,187,184
26,27,231,260,161,187,243,206,194,180,169,141,176,182,165,236,245,223,114,171,191,171
27,28,212,174,156,140,242,220,230,215,270,211,179,194,171,189,237,191,212,215,227,156
28,29,161,173,214,227,179,231,126,95,180,205,186,151,109,199,194,161,132,254,207,204
29,30,137,243,230,233,102,171,175,201,188,133,160,172,231,280,213,172,360,345,256,164
