,fov,spot_id,tumor,fibroblast,macrophage,T CD4 memory,T CD8 memory,plasmablast,B-cell,mast,Treg,endothelial,pDC,T CD4 naive,neutrophil,T CD8 naive,NK,monocyte,epithelial,mDC
0,1.0,1.0,16.0,3.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,17.0,0.0,20.0,12.0,3.0,1.0,0.0,10.0,0.0
1,1.0,2.0,1.0,5.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,14.0,1.0,14.0,5.0,9.0,7.0,1.0,4.0,1.0
2,1.0,3.0,10.0,5.0,7.0,2.0,0.0,9.0,14.0,1.0,0.0,16.0,1.0,21.0,10.0,3.0,1.0,0.0,8.0,6.0
3,1.0,4.0,51.0,4.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,6.0,0.0,12.0,3.0,1.0,1.0,1.0,8.0,1.0
4,1.0,5.0,15.0,3.0,9.0,0.0,0.0,2.0,0.0,4.0,0.0,36.0,0.0,1.0,5.0,4.0,2.0,1.0,7.0,4.0
5,1.0,6.0,3.0,2.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,34.0,1.0,7.0,13.0,3.0,5.0,2.0,14.0,0.0
6,1.0,7.0,42.0,3.0,16.0,0.0,0.0,9.0,4.0,3.0,0.0,22.0,1.0,14.0,24.0,4.0,5.0,0.0,3.0,1.0
7,1.0,8.0,19.0,7.0,13.0,0.0,0.0,12.0,3.0,8.0,0.0,34.0,1.0,8.0,9.0,1.0,3.0,0.0,11.0,2.0
8,1.0,9.0,0.0,7.0,8.0,0.0,1.0,2.0,1.0,4.0,0.0,28.0,0.0,4.0,17.0,0.0,3.0,1.0,11.0,2.0
9,1.0,10.0,0.0,4.0,13.0,0.0,1.0,1.0,1.0,3.0,0.0,23.0,0.0,2.0,5.0,1.0,3.0,1.0,3.0,2.0
10,1.0,11.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,2.0,0.0,9.0,0.0,3.0,3.0,0.0,1.0,0.0,2.0,1.0
11,1.0,12.0,0.0,4.0,6.0,0.0,0.0,5.0,1.0,2.0,0.0,25.0,4.0,5.0,14.0,3.0,1.0,0.0,11.0,2.0
12,1.0,13.0,2.0,4.0,12.0,0.0,0.0,3.0,1.0,4.0,0.0,37.0,0.0,4.0,4.0,2.0,3.0,1.0,13.0,3.0
13,1.0,14.0,0.0,8.0,6.0,0.0,0.0,5.0,3.0,1.0,0.0,45.0,1.0,11.0,12.0,0.0,6.0,0.0,5.0,2.0
14,1.0,15.0,1.0,12.0,8.0,1.0,0.0,13.0,6.0,11.0,1.0,37.0,3.0,19.0,17.0,4.0,9.0,4.0,4.0,3.0
15,1.0,16.0,0.0,13.0,5.0,0.0,0.0,20.0,13.0,3.0,0.0,42.0,7.0,31.0,8.0,7.0,12.0,0.0,8.0,5.0
16,1.0,17.0,0.0,14.0,11.0,0.0,0.0,12.0,6.0,7.0,0.0,55.0,4.0,11.0,12.0,5.0,4.0,1.0,12.0,0.0
17,1.0,18.0,1.0,20.0,7.0,2.0,0.0,21.0,5.0,4.0,0.0,49.0,3.0,12.0,8.0,11.0,4.0,2.0,12.0,1.0
18,1.0,19.0,1.0,24.0,7.0,1.0,1.0,13.0,3.0,2.0,0.0,36.0,5.0,17.0,5.0,2.0,3.0,0.0,6.0,3.0
19,1.0,20.0,0.0,13.0,9.0,0.0,0.0,18.0,1.0,5.0,0.0,30.0,2.0,9.0,5.0,4.0,1.0,2.0,5.0,2.0
20,2.0,1.0,0.0,19.0,6.0,2.0,2.0,6.0,106.0,0.0,0.0,13.0,1.0,64.0,1.0,6.0,0.0,1.0,38.0,8.0
21,2.0,2.0,0.0,47.0,4.0,3.0,0.0,7.0,51.0,9.0,0.0,21.0,12.0,59.0,1.0,10.0,0.0,2.0,12.0,9.0
22,2.0,3.0,0.0,39.0,4.0,0.0,0.0,20.0,4.0,7.0,0.0,17.0,5.0,8.0,2.0,1.0,2.0,0.0,31.0,3.0
23,2.0,4.0,0.0,35.0,1.0,1.0,0.0,13.0,2.0,5.0,0.0,13.0,10.0,6.0,2.0,0.0,1.0,0.0,20.0,4.0
24,2.0,5.0,0.0,39.0,5.0,2.0,0.0,26.0,67.0,8.0,0.0,14.0,10.0,69.0,0.0,12.0,2.0,0.0,27.0,10.0
25,2.0,6.0,0.0,37.0,4.0,3.0,0.0,20.0,4.0,5.0,1.0,16.0,4.0,11.0,3.0,3.0,0.0,1.0,12.0,7.0
26,2.0,7.0,0.0,32.0,2.0,0.0,0.0,40.0,1.0,4.0,1.0,7.0,11.0,6.0,1.0,1.0,1.0,0.0,0.0,2.0
27,2.0,8.0,0.0,30.0,5.0,0.0,0.0,31.0,5.0,9.0,0.0,6.0,16.0,17.0,2.0,3.0,0.0,0.0,0.0,12.0
28,2.0,9.0,0.0,41.0,10.0,2.0,0.0,46.0,25.0,4.0,0.0,11.0,19.0,40.0,5.0,11.0,1.0,3.0,1.0,5.0
29,2.0,10.0,30.0,34.0,1.0,1.0,0.0,42.0,8.0,4.0,0.0,7.0,10.0,13.0,2.0,2.0,0.0,3.0,2.0,3.0
30,2.0,11.0,82.0,9.0,0.0,0.0,0.0,23.0,0.0,7.0,0.0,8.0,7.0,0.0,1.0,2.0,1.0,0.0,12.0,1.0
31,2.0,12.0,68.0,10.0,1.0,0.0,0.0,17.0,0.0,5.0,0.0,7.0,3.0,1.0,4.0,1.0,0.0,0.0,15.0,1.0
32,2.0,13.0,8.0,48.0,8.0,5.0,1.0,21.0,30.0,5.0,0.0,7.0,14.0,93.0,12.0,26.0,4.0,1.0,1.0,20.0
33,2.0,14.0,71.0,24.0,0.0,1.0,0.0,20.0,3.0,6.0,0.0,9.0,7.0,8.0,13.0,1.0,1.0,1.0,0.0,5.0
34,2.0,15.0,143.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0
35,2.0,16.0,121.0,11.0,1.0,0.0,0.0,5.0,0.0,9.0,0.0,3.0,1.0,1.0,10.0,0.0,1.0,0.0,0.0,2.0
36,2.0,17.0,120.0,19.0,3.0,0.0,0.0,7.0,0.0,6.0,0.0,13.0,2.0,11.0,5.0,6.0,2.0,3.0,1.0,2.0
37,2.0,18.0,181.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
38,2.0,19.0,190.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0
39,2.0,20.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
40,3.0,1.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0
41,3.0,2.0,109.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,0.0
42,3.0,3.0,122.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,9.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0
43,3.0,4.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
44,3.0,5.0,24.0,27.0,5.0,1.0,0.0,10.0,3.0,5.0,0.0,24.0,1.0,3.0,25.0,3.0,2.0,0.0,9.0,8.0
45,3.0,6.0,43.0,22.0,7.0,0.0,0.0,15.0,0.0,7.0,0.0,21.0,1.0,1.0,23.0,0.0,2.0,0.0,7.0,2.0
46,3.0,7.0,135.0,5.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,9.0,0.0,0.0,7.0,0.0,2.0,0.0,5.0,0.0
47,3.0,8.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
48,3.0,9.0,12.0,20.0,19.0,0.0,0.0,2.0,1.0,7.0,0.0,21.0,1.0,4.0,62.0,0.0,2.0,1.0,12.0,4.0
49,3.0,10.0,7.0,20.0,9.0,0.0,0.0,7.0,0.0,6.0,0.0,20.0,1.0,4.0,27.0,1.0,0.0,2.0,11.0,2.0
50,3.0,11.0,81.0,16.0,2.0,0.0,0.0,5.0,1.0,9.0,0.0,24.0,0.0,2.0,21.0,1.0,3.0,0.0,7.0,2.0
51,3.0,12.0,161.0,18.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0
52,3.0,13.0,28.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0,2.0,0.0
53,3.0,14.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,0.0,1.0,0.0
54,3.0,15.0,13.0,15.0,5.0,1.0,0.0,3.0,2.0,6.0,0.0,14.0,0.0,4.0,28.0,4.0,1.0,1.0,9.0,1.0
55,3.0,16.0,110.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0,19.0,1.0,0.0,1.0,1.0,2.0
56,3.0,17.0,9.0,5.0,41.0,0.0,0.0,0.0,1.0,6.0,0.0,8.0,0.0,8.0,63.0,1.0,11.0,0.0,8.0,2.0
