,fov,spot_id,x,y
0,1.0,1.0,-5208.35555555556,-181735.777777778
1,1.0,2.0,-5208.35555555556,-182647.777777778
2,1.0,3.0,-5208.35555555556,-183559.777777778
3,1.0,4.0,-5208.35555555556,-184471.777777778
4,1.0,5.0,-4113.95555555556,-181735.777777778
5,1.0,6.0,-4113.95555555556,-182647.777777778
6,1.0,7.0,-4113.95555555556,-183559.777777778
7,1.0,8.0,-4113.95555555556,-184471.777777778
8,1.0,9.0,-3019.55555555556,-181735.777777778
9,1.0,10.0,-3019.55555555556,-182647.777777778
10,1.0,11.0,-3019.55555555556,-183559.777777778
11,1.0,12.0,-3019.55555555556,-184471.777777778
12,1.0,13.0,-1925.15555555556,-181735.777777778
13,1.0,14.0,-1925.15555555556,-182647.777777778
14,1.0,15.0,-1925.15555555556,-183559.777777778
15,1.0,16.0,-1925.15555555556,-184471.777777778
16,1.0,17.0,-830.75555555556,-181735.777777778
17,1.0,18.0,-830.75555555556,-182647.777777778
18,1.0,19.0,-830.75555555556,-183559.777777778
19,1.0,20.0,-830.75555555556,-184471.777777778
20,2.0,1.0,263.8666666666671,-181735.777777778
21,2.0,2.0,263.8666666666671,-182647.777777778
22,2.0,3.0,263.8666666666671,-183559.777777778
23,2.0,4.0,263.8666666666671,-184471.777777778
24,2.0,5.0,1358.266666666667,-181735.777777778
25,2.0,6.0,1358.266666666667,-182647.777777778
26,2.0,7.0,1358.266666666667,-183559.777777778
27,2.0,8.0,1358.266666666667,-184471.777777778
28,2.0,9.0,2452.6666666666674,-181735.777777778
29,2.0,10.0,2452.6666666666674,-182647.777777778
30,2.0,11.0,2452.6666666666674,-183559.777777778
31,2.0,12.0,2452.6666666666674,-184471.777777778
32,2.0,13.0,3547.0666666666675,-181735.777777778
33,2.0,14.0,3547.0666666666675,-182647.777777778
34,2.0,15.0,3547.0666666666675,-183559.777777778
35,2.0,16.0,3547.0666666666675,-184471.777777778
36,2.0,17.0,4641.466666666667,-181735.777777778
37,2.0,18.0,4641.466666666667,-182647.777777778
38,2.0,19.0,4641.466666666667,-183559.777777778
39,2.0,20.0,4641.466666666667,-184471.777777778
40,3.0,1.0,5736.088888888889,-181735.777777778
41,3.0,2.0,5736.088888888889,-182647.777777778
42,3.0,3.0,5736.088888888889,-183559.777777778
43,3.0,4.0,5736.088888888889,-184471.777777778
44,3.0,5.0,6830.488888888889,-181735.777777778
45,3.0,6.0,6830.488888888889,-182647.777777778
46,3.0,7.0,6830.488888888889,-183559.777777778
47,3.0,8.0,6830.488888888889,-184471.777777778
48,3.0,9.0,7924.88888888889,-181735.777777778
49,3.0,10.0,7924.88888888889,-182647.777777778
50,3.0,11.0,7924.88888888889,-183559.777777778
51,3.0,12.0,7924.88888888889,-184471.777777778
52,3.0,13.0,9019.28888888889,-181735.777777778
53,3.0,14.0,9019.28888888889,-182647.777777778
54,3.0,15.0,9019.28888888889,-183559.777777778
55,3.0,16.0,9019.28888888889,-184471.777777778
56,3.0,17.0,10113.68888888889,-181735.777777778
57,3.0,18.0,10113.68888888889,-182647.777777778
58,3.0,19.0,10113.68888888889,-183559.777777778
59,3.0,20.0,10113.68888888889,-184471.777777778
60,4.0,1.0,11208.311111111101,-181735.777777778
61,4.0,2.0,11208.311111111101,-182647.777777778
62,4.0,3.0,11208.311111111101,-183559.777777778
63,4.0,4.0,11208.311111111101,-184471.777777778
64,4.0,5.0,12302.7111111111,-181735.777777778
65,4.0,6.0,12302.7111111111,-182647.777777778
66,4.0,7.0,12302.7111111111,-183559.777777778
67,4.0,8.0,12302.7111111111,-184471.777777778
68,4.0,9.0,13397.111111111102,-181735.777777778
69,4.0,10.0,13397.111111111102,-182647.777777778
70,4.0,11.0,13397.111111111102,-183559.777777778
71,4.0,12.0,13397.111111111102,-184471.777777778
72,4.0,13.0,14491.511111111102,-181735.777777778
73,4.0,14.0,14491.511111111102,-182647.777777778
74,4.0,15.0,14491.511111111102,-183559.777777778
75,4.0,16.0,14491.511111111102,-184471.777777778
76,4.0,17.0,15585.911111111101,-181735.777777778
77,4.0,18.0,15585.911111111101,-182647.777777778
78,4.0,19.0,15585.911111111101,-183559.777777778
79,4.0,20.0,15585.911111111101,-184471.777777778
80,5.0,1.0,16680.5333333333,-181735.777777778
81,5.0,2.0,16680.5333333333,-182647.777777778
82,5.0,3.0,16680.5333333333,-183559.777777778
83,5.0,4.0,16680.5333333333,-184471.777777778
84,5.0,5.0,17774.9333333333,-181735.777777778
85,5.0,6.0,17774.9333333333,-182647.777777778
