,fov,spot_id,B-cell,NK,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Treg,endothelial,epithelial,fibroblast,mDC,macrophage,mast,monocyte,neutrophil,pDC,plasmablast,tumor 12,tumor 13,tumor 5,tumor 6,tumor 9
0,1.0,1.0,1.0,7.0,9.0,4.0,4.0,8.0,3.0,45.0,40.0,25.0,9.0,34.0,2.0,16.0,55.0,4.0,5.0,2.0,0.0,1.0,0.0,2.0
1,1.0,2.0,10.0,5.0,7.0,9.0,4.0,19.0,5.0,35.0,41.0,39.0,3.0,3.0,5.0,12.0,87.0,6.0,20.0,4.0,0.0,0.0,0.0,3.0
2,1.0,3.0,3.0,0.0,2.0,2.0,1.0,4.0,1.0,17.0,22.0,20.0,0.0,13.0,4.0,19.0,122.0,0.0,0.0,5.0,1.0,1.0,0.0,3.0
3,1.0,4.0,2.0,1.0,5.0,2.0,1.0,3.0,1.0,10.0,24.0,38.0,0.0,6.0,0.0,7.0,103.0,1.0,2.0,3.0,1.0,1.0,0.0,39.0
4,1.0,5.0,3.0,6.0,4.0,7.0,3.0,7.0,2.0,56.0,47.0,26.0,4.0,22.0,0.0,16.0,66.0,6.0,11.0,0.0,0.0,0.0,0.0,7.0
5,1.0,6.0,55.0,6.0,19.0,48.0,2.0,49.0,17.0,27.0,2.0,39.0,2.0,1.0,4.0,3.0,19.0,9.0,44.0,0.0,1.0,1.0,0.0,2.0
6,1.0,7.0,2.0,0.0,3.0,2.0,1.0,5.0,2.0,6.0,40.0,47.0,1.0,3.0,0.0,5.0,106.0,0.0,1.0,3.0,0.0,1.0,1.0,14.0
7,1.0,8.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,9.0,0.0,28.0,0.0,0.0,0.0,3.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,177.0
8,1.0,9.0,1.0,4.0,7.0,6.0,5.0,18.0,4.0,61.0,43.0,30.0,8.0,22.0,3.0,10.0,23.0,5.0,4.0,1.0,0.0,1.0,0.0,7.0
9,1.0,10.0,30.0,7.0,8.0,34.0,2.0,19.0,3.0,35.0,40.0,21.0,3.0,4.0,0.0,3.0,18.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0
