,fov,spot_id,x,y
0,1.0,1.0,-18402.8,-25685.7777777778
1,1.0,2.0,-18402.8,-26597.7777777778
2,1.0,3.0,-18402.8,-27509.7777777778
3,1.0,4.0,-18402.8,-28421.7777777778
4,1.0,5.0,-17308.399999999998,-25685.7777777778
5,1.0,6.0,-17308.399999999998,-26597.7777777778
6,1.0,7.0,-17308.399999999998,-27509.7777777778
7,1.0,8.0,-17308.399999999998,-28421.7777777778
8,1.0,9.0,-16214.0,-25685.7777777778
9,1.0,10.0,-16214.0,-26597.7777777778
10,1.0,11.0,-16214.0,-27509.7777777778
11,1.0,12.0,-16214.0,-28421.7777777778
12,1.0,13.0,-15119.599999999999,-25685.7777777778
13,1.0,14.0,-15119.599999999999,-26597.7777777778
14,1.0,15.0,-15119.599999999999,-27509.7777777778
15,1.0,16.0,-15119.599999999999,-28421.7777777778
16,1.0,17.0,-14025.199999999999,-25685.7777777778
17,1.0,18.0,-14025.199999999999,-26597.7777777778
18,1.0,19.0,-14025.199999999999,-27509.7777777778
19,1.0,20.0,-14025.199999999999,-28421.7777777778
20,2.0,1.0,-12930.577777777798,-25685.7777777778
21,2.0,2.0,-12930.577777777798,-26597.7777777778
22,2.0,3.0,-12930.577777777798,-27509.7777777778
23,2.0,4.0,-12930.577777777798,-28421.7777777778
24,2.0,5.0,-11836.177777777799,-25685.7777777778
25,2.0,6.0,-11836.177777777799,-26597.7777777778
26,2.0,7.0,-11836.177777777799,-27509.7777777778
27,2.0,8.0,-11836.177777777799,-28421.7777777778
28,2.0,9.0,-10741.7777777778,-25685.7777777778
29,2.0,10.0,-10741.7777777778,-26597.7777777778
30,2.0,11.0,-10741.7777777778,-27509.7777777778
31,2.0,12.0,-10741.7777777778,-28421.7777777778
32,2.0,13.0,-9647.377777777798,-25685.7777777778
33,2.0,14.0,-9647.377777777798,-26597.7777777778
34,2.0,15.0,-9647.377777777798,-27509.7777777778
35,2.0,16.0,-9647.377777777798,-28421.7777777778
36,2.0,17.0,-8552.977777777798,-25685.7777777778
37,2.0,18.0,-8552.977777777798,-26597.7777777778
38,2.0,19.0,-8552.977777777798,-27509.7777777778
39,2.0,20.0,-8552.977777777798,-28421.7777777778
40,3.0,1.0,-7458.35555555556,-25685.7777777778
41,3.0,2.0,-7458.35555555556,-26597.7777777778
